,Trial-ID,Status,Iteration,batch_size,filtro1,filtro2,kernel1,kernel2,kernel3,kernel4,lr,neuroni1,neuroni2,stride1,stride3,Objective
0,1,INTERMEDIATE,1,2048.0,32.0,38.0,1.0,1.0,1.0,1.0,0.0383452173102583,64.0,27.0,1.0,1.0,2.96491540342915e-05
1,1,COMPLETED,1,2048.0,32.0,38.0,1.0,1.0,1.0,1.0,0.0383452173102583,64.0,27.0,1.0,1.0,2.96491540342915e-05
2,2,INTERMEDIATE,1,1024.0,27.0,16.0,1.0,1.0,1.0,1.0,0.018324742157686494,26.0,27.0,1.0,1.0,1.0682603539054968e-05
3,2,COMPLETED,1,1024.0,27.0,16.0,1.0,1.0,1.0,1.0,0.018324742157686494,26.0,27.0,1.0,1.0,1.0682603539054968e-05
4,3,INTERMEDIATE,1,256.0,19.0,46.0,1.0,1.0,1.0,1.0,0.004376319965418801,16.0,83.0,1.0,1.0,1.5340461272476354e-05
5,3,COMPLETED,1,256.0,19.0,46.0,1.0,1.0,1.0,1.0,0.004376319965418801,16.0,83.0,1.0,1.0,1.5340461272476354e-05
6,4,INTERMEDIATE,1,1024.0,23.0,18.0,1.0,1.0,1.0,1.0,0.027485091348474443,63.0,25.0,1.0,1.0,1.9103923922261218e-05
7,4,COMPLETED,1,1024.0,23.0,18.0,1.0,1.0,1.0,1.0,0.027485091348474443,63.0,25.0,1.0,1.0,1.9103923922261218e-05
8,5,INTERMEDIATE,1,256.0,16.0,39.0,1.0,1.0,1.0,1.0,0.04294449402272734,30.0,30.0,1.0,1.0,1.7523825982452016e-05
9,5,COMPLETED,1,256.0,16.0,39.0,1.0,1.0,1.0,1.0,0.04294449402272734,30.0,30.0,1.0,1.0,1.7523825982452016e-05
10,6,INTERMEDIATE,1,512.0,23.0,36.0,1.0,1.0,1.0,1.0,0.03257321140075995,84.0,35.0,1.0,1.0,5.679789316138251e-05
11,6,COMPLETED,1,512.0,23.0,36.0,1.0,1.0,1.0,1.0,0.03257321140075995,84.0,35.0,1.0,1.0,5.679789316138251e-05
12,7,INTERMEDIATE,1,1024.0,17.0,41.0,1.0,1.0,1.0,1.0,0.01136108705835656,46.0,39.0,1.0,1.0,0.0007733783640490035
13,7,COMPLETED,1,1024.0,17.0,41.0,1.0,1.0,1.0,1.0,0.01136108705835656,46.0,39.0,1.0,1.0,0.0007733783640490035
14,8,INTERMEDIATE,1,256.0,13.0,44.0,1.0,1.0,1.0,1.0,0.03760228276698671,30.0,55.0,1.0,1.0,0.03413497927352086
15,8,COMPLETED,1,256.0,13.0,44.0,1.0,1.0,1.0,1.0,0.03760228276698671,30.0,55.0,1.0,1.0,0.03413497927352086
16,9,INTERMEDIATE,1,2048.0,25.0,11.0,1.0,1.0,1.0,1.0,0.022746169673256746,13.0,65.0,1.0,1.0,0.03351963353489333
17,9,COMPLETED,1,2048.0,25.0,11.0,1.0,1.0,1.0,1.0,0.022746169673256746,13.0,65.0,1.0,1.0,0.03351963353489333
18,10,INTERMEDIATE,1,256.0,30.0,17.0,1.0,1.0,1.0,1.0,0.025026022801583583,35.0,37.0,1.0,1.0,7.815623543926644e-06
19,10,COMPLETED,1,256.0,30.0,17.0,1.0,1.0,1.0,1.0,0.025026022801583583,35.0,37.0,1.0,1.0,7.815623543926644e-06
20,11,INTERMEDIATE,1,2048.0,43.0,39.0,1.0,1.0,1.0,1.0,0.0017557830276762932,14.0,53.0,1.0,1.0,1.2446970254888642e-05
21,11,COMPLETED,1,2048.0,43.0,39.0,1.0,1.0,1.0,1.0,0.0017557830276762932,14.0,53.0,1.0,1.0,1.2446970254888642e-05
22,12,INTERMEDIATE,1,256.0,38.0,24.0,1.0,1.0,1.0,1.0,0.0031353216715257494,10.0,65.0,1.0,1.0,6.942968131502195e-06
23,12,COMPLETED,1,256.0,38.0,24.0,1.0,1.0,1.0,1.0,0.0031353216715257494,10.0,65.0,1.0,1.0,6.942968131502195e-06
24,13,INTERMEDIATE,1,2048.0,24.0,23.0,1.0,1.0,1.0,1.0,0.030385893905335137,34.0,87.0,1.0,1.0,0.0001112932430618708
25,13,COMPLETED,1,2048.0,24.0,23.0,1.0,1.0,1.0,1.0,0.030385893905335137,34.0,87.0,1.0,1.0,0.0001112932430618708
26,14,INTERMEDIATE,1,256.0,20.0,47.0,1.0,1.0,1.0,1.0,0.010523268345409531,16.0,82.0,1.0,1.0,1.4825725575524511e-05
27,14,COMPLETED,1,256.0,20.0,47.0,1.0,1.0,1.0,1.0,0.010523268345409531,16.0,82.0,1.0,1.0,1.4825725575524511e-05
28,15,INTERMEDIATE,1,256.0,45.0,31.0,1.0,1.0,1.0,1.0,5e-05,10.0,64.0,1.0,1.0,2.0781913015695237e-05
29,15,COMPLETED,1,256.0,45.0,31.0,1.0,1.0,1.0,1.0,5e-05,10.0,64.0,1.0,1.0,2.0781913015695237e-05
30,16,INTERMEDIATE,1,1024.0,22.0,32.0,1.0,1.0,1.0,1.0,0.023054155236271204,44.0,28.0,1.0,1.0,7.653321760523659e-05
31,16,COMPLETED,1,1024.0,22.0,32.0,1.0,1.0,1.0,1.0,0.023054155236271204,44.0,28.0,1.0,1.0,7.653321760523659e-05
32,17,INTERMEDIATE,1,1024.0,18.0,35.0,1.0,1.0,1.0,1.0,0.007852542133461288,62.0,34.0,1.0,1.0,1.4172086328945797e-05
33,17,COMPLETED,1,1024.0,18.0,35.0,1.0,1.0,1.0,1.0,0.007852542133461288,62.0,34.0,1.0,1.0,1.4172086328945797e-05
34,18,INTERMEDIATE,1,256.0,16.0,47.0,1.0,1.0,1.0,1.0,0.015232317016870056,47.0,25.0,1.0,1.0,9.850487498008411e-06
35,18,COMPLETED,1,256.0,16.0,47.0,1.0,1.0,1.0,1.0,0.015232317016870056,47.0,25.0,1.0,1.0,9.850487498008411e-06
36,19,INTERMEDIATE,1,256.0,33.0,40.0,1.0,1.0,1.0,1.0,0.01416669674525897,20.0,91.0,1.0,1.0,1.1058487830750858e-05
37,19,COMPLETED,1,256.0,33.0,40.0,1.0,1.0,1.0,1.0,0.01416669674525897,20.0,91.0,1.0,1.0,1.1058487830750858e-05
