,Trial-ID,Status,Iteration,batch_size,conv1,conv2,conv3,conv6,h1,h2,lr,Objective
0,1,INTERMEDIATE,1,1024.0,4.0,2.0,2.0,6.0,63.0,33.0,0.04611359872819951,0.899542801270119
1,1,COMPLETED,1,1024.0,4.0,2.0,2.0,6.0,63.0,33.0,0.04611359872819951,0.899542801270119
2,2,INTERMEDIATE,1,1024.0,3.0,3.0,2.0,4.0,25.0,30.0,0.021952511587082123,0.8381745675227825
3,2,COMPLETED,1,1024.0,3.0,3.0,2.0,4.0,25.0,30.0,0.021952511587082123,0.8381745675227825
4,3,INTERMEDIATE,1,2048.0,4.0,4.0,2.0,6.0,44.0,35.0,0.023585025035618042,1.0204670435461554
5,3,COMPLETED,1,2048.0,4.0,4.0,2.0,6.0,44.0,35.0,0.023585025035618042,1.0204670435461554
6,4,INTERMEDIATE,1,512.0,3.0,4.0,2.0,4.0,42.0,36.0,0.017487498819600655,0.8208235446930375
7,4,COMPLETED,1,512.0,3.0,4.0,2.0,4.0,42.0,36.0,0.017487498819600655,0.8208235446930375
8,5,INTERMEDIATE,1,2048.0,2.0,2.0,4.0,6.0,45.0,49.0,0.04422901774794258,0.9104581113586335
9,5,COMPLETED,1,2048.0,2.0,2.0,4.0,6.0,45.0,49.0,0.04422901774794258,0.9104581113586335
10,6,INTERMEDIATE,1,2048.0,4.0,2.0,4.0,2.0,55.0,51.0,0.037617053996630505,0.7720348265243462
11,6,COMPLETED,1,2048.0,4.0,2.0,4.0,2.0,55.0,51.0,0.037617053996630505,0.7720348265243462
12,7,INTERMEDIATE,1,512.0,2.0,4.0,4.0,5.0,24.0,42.0,0.006102319007478868,0.9521887200304813
13,7,COMPLETED,1,512.0,2.0,4.0,4.0,5.0,24.0,42.0,0.006102319007478868,0.9521887200304813
14,8,INTERMEDIATE,1,512.0,3.0,4.0,2.0,5.0,25.0,58.0,0.028278288036925996,0.8204532086852511
15,8,COMPLETED,1,512.0,3.0,4.0,2.0,5.0,25.0,58.0,0.028278288036925996,0.8204532086852511
16,9,INTERMEDIATE,1,2048.0,4.0,2.0,4.0,2.0,59.0,44.0,0.011301157459684259,0.8122151018098854
17,9,COMPLETED,1,2048.0,4.0,2.0,4.0,2.0,59.0,44.0,0.011301157459684259,0.8122151018098854
18,10,INTERMEDIATE,1,512.0,3.0,3.0,2.0,3.0,41.0,37.0,0.03413054048936898,0.826699377830241
