,Trial-ID,Status,Iteration,batch_size,conv1,conv2,h1,h2,kernel1,kernel2,lr,Objective
0,1,INTERMEDIATE,1,2048.0,6.0,7.0,30.0,19.0,6.0,2.0,0.02123162507579175,0.05921042037225729
1,1,COMPLETED,1,2048.0,6.0,7.0,30.0,19.0,6.0,2.0,0.02123162507579175,0.05921042037225729
2,2,INTERMEDIATE,1,1024.0,5.0,8.0,43.0,30.0,3.0,6.0,0.01322476381746258,0.05470663473012433
3,2,COMPLETED,1,1024.0,5.0,8.0,43.0,30.0,3.0,6.0,0.01322476381746258,0.05470663473012433
4,3,INTERMEDIATE,1,2048.0,5.0,6.0,20.0,17.0,3.0,3.0,0.049715140216600985,0.05301841775674131
5,3,COMPLETED,1,2048.0,5.0,6.0,20.0,17.0,3.0,3.0,0.049715140216600985,0.05301841775674131
6,4,INTERMEDIATE,1,2048.0,8.0,4.0,52.0,0.0,4.0,3.0,0.007873061048050776,0.05992843514463859
7,4,COMPLETED,1,2048.0,8.0,4.0,52.0,0.0,4.0,3.0,0.007873061048050776,0.05992843514463859
8,5,INTERMEDIATE,1,2048.0,3.0,7.0,46.0,17.0,4.0,2.0,0.026764476142895784,0.06112198788327906
9,5,COMPLETED,1,2048.0,3.0,7.0,46.0,17.0,4.0,2.0,0.026764476142895784,0.06112198788327906
10,6,INTERMEDIATE,1,2048.0,5.0,2.0,30.0,33.0,5.0,4.0,0.03739245189330159,0.06752081893387181
11,6,COMPLETED,1,2048.0,5.0,2.0,30.0,33.0,5.0,4.0,0.03739245189330159,0.06752081893387181
12,7,INTERMEDIATE,1,1024.0,7.0,6.0,17.0,45.0,2.0,2.0,0.031217361758949482,0.05715896858595364
13,7,COMPLETED,1,1024.0,7.0,6.0,17.0,45.0,2.0,2.0,0.031217361758949482,0.05715896858595364
14,8,INTERMEDIATE,1,1024.0,3.0,4.0,41.0,38.0,2.0,6.0,0.014146715754034082,0.06407169809958188
15,8,COMPLETED,1,1024.0,3.0,4.0,41.0,38.0,2.0,6.0,0.014146715754034082,0.06407169809958188
16,9,INTERMEDIATE,1,2048.0,6.0,0.0,26.0,11.0,6.0,5.0,0.005834304575970253,0.05705425119700675
17,9,COMPLETED,1,2048.0,6.0,0.0,26.0,11.0,6.0,5.0,0.005834304575970253,0.05705425119700675
18,10,INTERMEDIATE,1,2048.0,3.0,8.0,39.0,21.0,5.0,6.0,0.019875552535605,0.06070249312512768
19,10,COMPLETED,1,2048.0,3.0,8.0,39.0,21.0,5.0,6.0,0.019875552535605,0.06070249312512768
20,11,INTERMEDIATE,1,2048.0,6.0,0.0,27.0,11.0,6.0,6.0,0.016289650010138105,0.07068150669436869
21,11,COMPLETED,1,2048.0,6.0,0.0,27.0,11.0,6.0,6.0,0.016289650010138105,0.07068150669436869
22,12,INTERMEDIATE,1,2048.0,5.0,1.0,25.0,12.0,6.0,5.0,0.04642667681542435,0.073544116497377
23,12,COMPLETED,1,2048.0,5.0,1.0,25.0,12.0,6.0,5.0,0.04642667681542435,0.073544116497377
24,13,INTERMEDIATE,1,1024.0,4.0,7.0,47.0,18.0,5.0,2.0,0.04626467991102474,0.06205575426024954
25,13,COMPLETED,1,1024.0,4.0,7.0,47.0,18.0,5.0,2.0,0.04626467991102474,0.06205575426024954
26,14,INTERMEDIATE,1,2048.0,8.0,0.0,30.0,52.0,4.0,7.0,0.01800834314049937,0.051980496959616096
27,14,COMPLETED,1,2048.0,8.0,0.0,30.0,52.0,4.0,7.0,0.01800834314049937,0.051980496959616096
28,15,INTERMEDIATE,1,2048.0,7.0,2.0,25.0,56.0,3.0,3.0,0.035874182352965495,0.06974376328640523
29,15,COMPLETED,1,2048.0,7.0,2.0,25.0,56.0,3.0,3.0,0.035874182352965495,0.06974376328640523
30,16,INTERMEDIATE,1,1024.0,8.0,3.0,52.0,0.0,3.0,4.0,0.02705086656346847,0.06001116311259741
31,16,COMPLETED,1,1024.0,8.0,3.0,52.0,0.0,3.0,4.0,0.02705086656346847,0.06001116311259741
32,17,INTERMEDIATE,1,1024.0,8.0,4.0,17.0,56.0,2.0,2.0,0.006249142545663582,0.06497036774927192
33,17,COMPLETED,1,1024.0,8.0,4.0,17.0,56.0,2.0,2.0,0.006249142545663582,0.06497036774927192
34,18,INTERMEDIATE,1,1024.0,4.0,8.0,64.0,38.0,4.0,5.0,0.019353514981320905,0.06024403809622876
35,18,COMPLETED,1,1024.0,4.0,8.0,64.0,38.0,4.0,5.0,0.019353514981320905,0.06024403809622876
36,19,INTERMEDIATE,1,512.0,4.0,8.0,46.0,19.0,4.0,2.0,0.043633437154548295,0.07648405506032609
37,19,COMPLETED,1,512.0,4.0,8.0,46.0,19.0,4.0,2.0,0.043633437154548295,0.07648405506032609
38,20,INTERMEDIATE,1,1024.0,5.0,6.0,20.0,17.0,4.0,5.0,0.03521257332745896,0.06232893026103446
39,20,COMPLETED,1,1024.0,5.0,6.0,20.0,17.0,4.0,5.0,0.03521257332745896,0.06232893026103446
40,21,INTERMEDIATE,1,2048.0,6.0,6.0,29.0,18.0,7.0,2.0,0.02673652738765348,0.0646733927293041
41,21,COMPLETED,1,2048.0,6.0,6.0,29.0,18.0,7.0,2.0,0.02673652738765348,0.0646733927293041
42,22,INTERMEDIATE,1,2048.0,8.0,6.0,55.0,11.0,5.0,6.0,0.02816932484113693,0.060541949510053955
43,22,COMPLETED,1,2048.0,8.0,6.0,55.0,11.0,5.0,6.0,0.02816932484113693,0.060541949510053955
44,23,INTERMEDIATE,1,512.0,6.0,8.0,28.0,50.0,2.0,2.0,0.0457412284013528,0.0628026568901984
45,23,COMPLETED,1,512.0,6.0,8.0,28.0,50.0,2.0,2.0,0.0457412284013528,0.0628026568901984
46,24,INTERMEDIATE,1,2048.0,7.0,1.0,30.0,53.0,3.0,7.0,0.012391739579335693,0.06823318507186424
47,24,COMPLETED,1,2048.0,7.0,1.0,30.0,53.0,3.0,7.0,0.012391739579335693,0.06823318507186424
48,25,INTERMEDIATE,1,1024.0,4.0,7.0,20.0,18.0,3.0,5.0,0.04508662872331387,0.05420773323567202
49,25,COMPLETED,1,1024.0,4.0,7.0,20.0,18.0,3.0,5.0,0.04508662872331387,0.05420773323567202
50,26,INTERMEDIATE,1,2048.0,8.0,7.0,53.0,24.0,3.0,7.0,0.020537398940287274,0.05572124618946709
51,26,COMPLETED,1,2048.0,8.0,7.0,53.0,24.0,3.0,7.0,0.020537398940287274,0.05572124618946709
52,27,INTERMEDIATE,1,2048.0,3.0,8.0,20.0,18.0,3.0,4.0,0.023407590094208144,0.05713910910321193
53,27,COMPLETED,1,2048.0,3.0,8.0,20.0,18.0,3.0,4.0,0.023407590094208144,0.05713910910321193
54,28,INTERMEDIATE,1,1024.0,3.0,8.0,39.0,20.0,4.0,7.0,0.01440972312277488,0.0641259370233013
55,28,COMPLETED,1,1024.0,3.0,8.0,39.0,20.0,4.0,7.0,0.01440972312277488,0.0641259370233013
56,29,INTERMEDIATE,1,2048.0,3.0,8.0,19.0,19.0,2.0,5.0,0.017596937247683346,0.07652902103687062
57,29,COMPLETED,1,2048.0,3.0,8.0,19.0,19.0,2.0,5.0,0.017596937247683346,0.07652902103687062
58,30,INTERMEDIATE,1,1024.0,4.0,9.0,28.0,37.0,7.0,6.0,0.015853290855023214,0.06957488833819536
59,30,COMPLETED,1,1024.0,4.0,9.0,28.0,37.0,7.0,6.0,0.015853290855023214,0.06957488833819536
