,Trial-ID,Status,Iteration,batch_size,gru_hidden,hidden_unit1,hidden_unit2,lr,Objective
0,1,INTERMEDIATE,1,512.0,56.0,46.0,26.0,0.03027051026737736,2.6455194682621288e-05
1,1,COMPLETED,1,512.0,56.0,46.0,26.0,0.03027051026737736,2.6455194682621288e-05
2,2,INTERMEDIATE,1,1024.0,70.0,37.0,37.0,0.03660570723149659,0.00035546234230507433
3,2,COMPLETED,1,1024.0,70.0,37.0,37.0,0.03660570723149659,0.00035546234230507433
4,3,INTERMEDIATE,1,512.0,76.0,53.0,9.0,0.03155277787802012,6.548090121128082e-05
5,3,COMPLETED,1,512.0,76.0,53.0,9.0,0.03155277787802012,6.548090121128082e-05
6,4,INTERMEDIATE,1,2048.0,47.0,62.0,16.0,0.0324138357913613,0.000244694937435826
7,4,COMPLETED,1,2048.0,47.0,62.0,16.0,0.0324138357913613,0.000244694937435826
8,5,INTERMEDIATE,1,512.0,24.0,48.0,52.0,0.04017164146339674,6.957309300889986e-06
9,5,COMPLETED,1,512.0,24.0,48.0,52.0,0.04017164146339674,6.957309300889986e-06
10,6,INTERMEDIATE,1,2048.0,44.0,50.0,10.0,0.023562443580321314,0.0002180660267858062
11,6,COMPLETED,1,2048.0,44.0,50.0,10.0,0.023562443580321314,0.0002180660267858062
12,7,INTERMEDIATE,1,512.0,23.0,45.0,51.0,0.04399746653644748,1.0823265348037626e-05
13,7,COMPLETED,1,512.0,23.0,45.0,51.0,0.04399746653644748,1.0823265348037626e-05
14,8,INTERMEDIATE,1,512.0,30.0,46.0,48.0,0.03419293588888428,0.0003355742600547516
15,8,COMPLETED,1,512.0,30.0,46.0,48.0,0.03419293588888428,0.0003355742600547516
16,9,INTERMEDIATE,1,512.0,22.0,47.0,52.0,0.043736018292589184,0.00020423975847360087
17,9,COMPLETED,1,512.0,22.0,47.0,52.0,0.043736018292589184,0.00020423975847360087
18,10,INTERMEDIATE,1,2048.0,24.0,45.0,55.0,0.009686796000663198,7.70657128243337e-06
19,10,COMPLETED,1,2048.0,24.0,45.0,55.0,0.009686796000663198,7.70657128243337e-06
20,11,INTERMEDIATE,1,2048.0,25.0,43.0,56.0,0.03732653204001384,1.2683219342306629e-05
21,11,COMPLETED,1,2048.0,25.0,43.0,56.0,0.03732653204001384,1.2683219342306629e-05
22,12,INTERMEDIATE,1,2048.0,45.0,21.0,56.0,0.00915369694526293,2.1887565499945955e-05
23,12,COMPLETED,1,2048.0,45.0,21.0,56.0,0.00915369694526293,2.1887565499945955e-05
24,13,INTERMEDIATE,1,2048.0,24.0,43.0,57.0,0.01740780027845393,4.404016926027731e-05
25,13,COMPLETED,1,2048.0,24.0,43.0,57.0,0.01740780027845393,4.404016926027731e-05
26,14,INTERMEDIATE,1,512.0,25.0,46.0,52.0,0.035690740079899023,0.0005512348242420768
27,14,COMPLETED,1,512.0,25.0,46.0,52.0,0.035690740079899023,0.0005512348242420768
28,15,INTERMEDIATE,1,512.0,75.0,53.0,9.0,0.027390045571278946,5.892449710260527e-05
29,15,COMPLETED,1,512.0,75.0,53.0,9.0,0.027390045571278946,5.892449710260527e-05
30,16,INTERMEDIATE,1,2048.0,24.0,43.0,56.0,0.024236484020421355,2.2999285701464908e-05
31,16,COMPLETED,1,2048.0,24.0,43.0,56.0,0.024236484020421355,2.2999285701464908e-05
32,17,INTERMEDIATE,1,2048.0,24.0,44.0,56.0,0.020207675041961973,4.0365202966272245e-05
33,17,COMPLETED,1,2048.0,24.0,44.0,56.0,0.020207675041961973,4.0365202966272245e-05
34,18,INTERMEDIATE,1,512.0,24.0,49.0,52.0,0.04126047958188784,0.00014126986766469331
35,18,COMPLETED,1,512.0,24.0,49.0,52.0,0.04126047958188784,0.00014126986766469331
36,19,INTERMEDIATE,1,2048.0,25.0,42.0,56.0,0.05,2.2486837801664173e-05
37,19,COMPLETED,1,2048.0,25.0,42.0,56.0,0.05,2.2486837801664173e-05
38,20,INTERMEDIATE,1,2048.0,24.0,44.0,55.0,0.014036032857354948,0.00029391073405231067
39,20,COMPLETED,1,2048.0,24.0,44.0,55.0,0.014036032857354948,0.00029391073405231067
40,21,INTERMEDIATE,1,512.0,56.0,45.0,26.0,0.028694723755958426,2.9313642455854664e-06
41,21,COMPLETED,1,512.0,56.0,45.0,26.0,0.028694723755958426,2.9313642455854664e-06
42,22,INTERMEDIATE,1,2048.0,45.0,20.0,56.0,0.013319683035996085,4.423755460124094e-06
43,22,COMPLETED,1,2048.0,45.0,20.0,56.0,0.013319683035996085,4.423755460124094e-06
44,23,INTERMEDIATE,1,2048.0,46.0,20.0,56.0,0.009522125062124333,0.0006123638131549129
45,23,COMPLETED,1,2048.0,46.0,20.0,56.0,0.009522125062124333,0.0006123638131549129
46,24,INTERMEDIATE,1,1024.0,80.0,58.0,30.0,0.009167171636280544,2.9970997292601287e-05
47,24,COMPLETED,1,1024.0,80.0,58.0,30.0,0.009167171636280544,2.9970997292601287e-05
48,25,INTERMEDIATE,1,1024.0,72.0,54.0,17.0,0.013431907037159633,2.9657748594126575e-05
49,25,COMPLETED,1,1024.0,72.0,54.0,17.0,0.013431907037159633,2.9657748594126575e-05
50,26,INTERMEDIATE,1,512.0,74.0,40.0,10.0,0.0455153288529554,1.827377816143126e-05
51,26,COMPLETED,1,512.0,74.0,40.0,10.0,0.0455153288529554,1.827377816143126e-05
52,27,INTERMEDIATE,1,2048.0,49.0,29.0,38.0,0.019583148871417228,0.0006209411154463804
53,27,COMPLETED,1,2048.0,49.0,29.0,38.0,0.019583148871417228,0.0006209411154463804
54,28,INTERMEDIATE,1,512.0,43.0,21.0,57.0,0.02688725149151924,7.170600131654661e-05
55,28,COMPLETED,1,512.0,43.0,21.0,57.0,0.02688725149151924,7.170600131654661e-05
56,29,INTERMEDIATE,1,512.0,55.0,46.0,26.0,0.015341185137302728,8.315630714546477e-06
57,29,COMPLETED,1,512.0,55.0,46.0,26.0,0.015341185137302728,8.315630714546477e-06
58,30,INTERMEDIATE,1,512.0,77.0,51.0,9.0,0.005853425030135638,6.329615387192003e-05
59,30,COMPLETED,1,512.0,77.0,51.0,9.0,0.005853425030135638,6.329615387192003e-05
60,31,INTERMEDIATE,1,1024.0,73.0,41.0,10.0,0.04247308638368949,0.00019036303831960466
61,31,COMPLETED,1,1024.0,73.0,41.0,10.0,0.04247308638368949,0.00019036303831960466
62,32,INTERMEDIATE,1,1024.0,44.0,23.0,55.0,0.02513540514359454,2.8084131260809612e-05
63,32,COMPLETED,1,1024.0,44.0,23.0,55.0,0.02513540514359454,2.8084131260809612e-05
64,33,INTERMEDIATE,1,1024.0,75.0,55.0,9.0,0.04180161838077547,0.00026075551221711854
65,33,COMPLETED,1,1024.0,75.0,55.0,9.0,0.04180161838077547,0.00026075551221711854
66,34,INTERMEDIATE,1,512.0,55.0,43.0,26.0,0.026149066013758673,6.277887651236045e-06
67,34,COMPLETED,1,512.0,55.0,43.0,26.0,0.026149066013758673,6.277887651236045e-06
68,35,INTERMEDIATE,1,1024.0,80.0,59.0,32.0,0.012376228940113579,4.518956432046895e-05
69,35,COMPLETED,1,1024.0,80.0,59.0,32.0,0.012376228940113579,4.518956432046895e-05
70,36,INTERMEDIATE,1,1024.0,33.0,63.0,2.0,0.017865188915667154,0.03284441428071017
71,36,COMPLETED,1,1024.0,33.0,63.0,2.0,0.017865188915667154,0.03284441428071017
72,37,INTERMEDIATE,1,2048.0,20.0,16.0,35.0,0.05,7.268288918469695e-05
73,37,COMPLETED,1,2048.0,20.0,16.0,35.0,0.05,7.268288918469695e-05
74,38,INTERMEDIATE,1,2048.0,20.0,16.0,64.0,0.05,7.425988631720567e-05
75,38,COMPLETED,1,2048.0,20.0,16.0,64.0,0.05,7.425988631720567e-05
76,39,INTERMEDIATE,1,2048.0,50.0,16.0,4.0,0.05,1.944177360380321e-05
77,39,COMPLETED,1,2048.0,50.0,16.0,4.0,0.05,1.944177360380321e-05
78,40,INTERMEDIATE,1,2048.0,51.0,45.0,14.0,0.05,8.537653502969739e-06
79,40,COMPLETED,1,2048.0,51.0,45.0,14.0,0.05,8.537653502969739e-06
80,41,INTERMEDIATE,1,2048.0,49.0,64.0,64.0,0.05,3.1308936316733543e-05
81,41,COMPLETED,1,2048.0,49.0,64.0,64.0,0.05,3.1308936316733543e-05
82,42,INTERMEDIATE,1,1024.0,80.0,16.0,0.0,0.05,0.006105668090695849
83,42,COMPLETED,1,1024.0,80.0,16.0,0.0,0.05,0.006105668090695849
84,43,INTERMEDIATE,1,2048.0,50.0,64.0,31.0,0.05,3.530316108346346e-05
85,43,COMPLETED,1,2048.0,50.0,64.0,31.0,0.05,3.530316108346346e-05
86,44,INTERMEDIATE,1,2048.0,80.0,64.0,64.0,0.05,6.237787411913228e-05
87,44,COMPLETED,1,2048.0,80.0,64.0,64.0,0.05,6.237787411913228e-05
88,45,INTERMEDIATE,1,2048.0,29.0,37.0,29.0,0.05,3.9602920831841216e-05
89,45,COMPLETED,1,2048.0,29.0,37.0,29.0,0.05,3.9602920831841216e-05
90,46,INTERMEDIATE,1,2048.0,33.0,18.0,50.0,0.05,0.00201728497090856
91,46,COMPLETED,1,2048.0,33.0,18.0,50.0,0.05,0.00201728497090856
92,47,INTERMEDIATE,1,2048.0,20.0,16.0,9.0,0.05,0.001071258989623028
93,47,COMPLETED,1,2048.0,20.0,16.0,9.0,0.05,0.001071258989623028
94,48,INTERMEDIATE,1,2048.0,50.0,56.0,19.0,0.05,0.03286895841775769
95,48,COMPLETED,1,2048.0,50.0,56.0,19.0,0.05,0.03286895841775769
96,49,INTERMEDIATE,1,2048.0,47.0,41.0,9.0,0.022971949401695807,1.0179229367219284e-05
97,49,COMPLETED,1,2048.0,47.0,41.0,9.0,0.022971949401695807,1.0179229367219284e-05
98,50,INTERMEDIATE,1,2048.0,45.0,64.0,14.0,0.014719389185076795,1.322321989190413e-05
99,50,COMPLETED,1,2048.0,45.0,64.0,14.0,0.014719389185076795,1.322321989190413e-05
100,51,INTERMEDIATE,1,512.0,55.0,39.0,14.0,0.022740493428257506,2.9016675937396077e-05
101,51,COMPLETED,1,512.0,55.0,39.0,14.0,0.022740493428257506,2.9016675937396077e-05
102,52,INTERMEDIATE,1,512.0,55.0,46.0,35.0,0.005,3.119311881926548e-06
103,52,COMPLETED,1,512.0,55.0,46.0,35.0,0.005,3.119311881926548e-06
104,53,INTERMEDIATE,1,2048.0,50.0,64.0,40.0,0.030426485046364745,1.2176890549583007e-05
105,53,COMPLETED,1,2048.0,50.0,64.0,40.0,0.030426485046364745,1.2176890549583007e-05
106,54,INTERMEDIATE,1,512.0,22.0,42.0,41.0,0.05,0.0019629999813780357
107,54,COMPLETED,1,512.0,22.0,42.0,41.0,0.05,0.0019629999813780357
108,55,INTERMEDIATE,1,2048.0,46.0,37.0,20.0,0.005,4.652671577985327e-05
109,55,COMPLETED,1,2048.0,46.0,37.0,20.0,0.005,4.652671577985327e-05
110,56,INTERMEDIATE,1,512.0,78.0,45.0,22.0,0.041611333442533996,0.0009469014421141578
111,56,COMPLETED,1,512.0,78.0,45.0,22.0,0.041611333442533996,0.0009469014421141578
112,57,INTERMEDIATE,1,2048.0,50.0,47.0,4.0,0.05,1.5689335728735243e-05
113,57,COMPLETED,1,2048.0,50.0,47.0,4.0,0.05,1.5689335728735243e-05
114,58,INTERMEDIATE,1,2048.0,34.0,53.0,60.0,0.05,7.33718927359001e-05
115,58,COMPLETED,1,2048.0,34.0,53.0,60.0,0.05,7.33718927359001e-05
116,59,INTERMEDIATE,1,512.0,41.0,39.0,34.0,0.005,5.019762735243715e-06
117,59,COMPLETED,1,512.0,41.0,39.0,34.0,0.005,5.019762735243715e-06
118,60,INTERMEDIATE,1,2048.0,43.0,50.0,47.0,0.05,1.1763618552281514e-05
119,60,COMPLETED,1,2048.0,43.0,50.0,47.0,0.05,1.1763618552281514e-05
120,61,INTERMEDIATE,1,2048.0,42.0,62.0,53.0,0.05,2.5424779081720082e-05
121,61,COMPLETED,1,2048.0,42.0,62.0,53.0,0.05,2.5424779081720082e-05
122,62,INTERMEDIATE,1,512.0,40.0,64.0,37.0,0.05,0.03285920081474672
123,62,COMPLETED,1,512.0,40.0,64.0,37.0,0.05,0.03285920081474672
124,63,INTERMEDIATE,1,2048.0,56.0,64.0,37.0,0.030144595971584046,9.441700469500444e-06
125,63,COMPLETED,1,2048.0,56.0,64.0,37.0,0.030144595971584046,9.441700469500444e-06
126,64,INTERMEDIATE,1,2048.0,54.0,62.0,48.0,0.02152377175347617,0.00037833425629715415
127,64,COMPLETED,1,2048.0,54.0,62.0,48.0,0.02152377175347617,0.00037833425629715415
128,65,INTERMEDIATE,1,2048.0,46.0,54.0,57.0,0.05,4.3566767552198194e-05
129,65,COMPLETED,1,2048.0,46.0,54.0,57.0,0.05,4.3566767552198194e-05
130,66,INTERMEDIATE,1,2048.0,43.0,40.0,48.0,0.05,0.002867381956697101
131,66,COMPLETED,1,2048.0,43.0,40.0,48.0,0.05,0.002867381956697101
132,67,INTERMEDIATE,1,2048.0,38.0,64.0,62.0,0.009195227167305866,0.0001348628210442052
133,67,COMPLETED,1,2048.0,38.0,64.0,62.0,0.009195227167305866,0.0001348628210442052
134,68,INTERMEDIATE,1,512.0,37.0,28.0,29.0,0.005,1.7050376176981496e-05
135,68,COMPLETED,1,512.0,37.0,28.0,29.0,0.005,1.7050376176981496e-05
136,69,INTERMEDIATE,1,2048.0,24.0,25.0,26.0,0.05,0.0006397772313139969
137,69,COMPLETED,1,2048.0,24.0,25.0,26.0,0.05,0.0006397772313139969
