,Trial-ID,Status,Iteration,batch_size,gru_hidden,hidden_unit1,hidden_unit2,lr,Objective
0,1,INTERMEDIATE,1,512.0,43.0,43.0,3.0,0.046791570283897944,0.05791774190715475
1,1,COMPLETED,1,512.0,43.0,43.0,3.0,0.046791570283897944,0.05791774190715475
2,2,INTERMEDIATE,1,1024.0,79.0,37.0,51.0,0.031339146791592234,9.713201717194311e-05
3,2,COMPLETED,1,1024.0,79.0,37.0,51.0,0.031339146791592234,9.713201717194311e-05
4,3,INTERMEDIATE,1,1024.0,45.0,32.0,30.0,0.01774331549598672,4.751459742294283e-05
5,3,COMPLETED,1,1024.0,45.0,32.0,30.0,0.01774331549598672,4.751459742294283e-05
6,4,INTERMEDIATE,1,1024.0,62.0,25.0,44.0,0.031173491558913306,5.993087672348655e-05
7,4,COMPLETED,1,1024.0,62.0,25.0,44.0,0.031173491558913306,5.993087672348655e-05
8,5,INTERMEDIATE,1,512.0,55.0,52.0,4.0,0.045595977154635384,0.05701937255313751
9,5,COMPLETED,1,512.0,55.0,52.0,4.0,0.045595977154635384,0.05701937255313751
10,6,INTERMEDIATE,1,2048.0,78.0,53.0,39.0,0.025395971832800585,0.00013611263868579886
11,6,COMPLETED,1,2048.0,78.0,53.0,39.0,0.025395971832800585,0.00013611263868579886
12,7,INTERMEDIATE,1,1024.0,46.0,32.0,29.0,0.018905158677717308,5.001193758542436e-05
13,7,COMPLETED,1,1024.0,46.0,32.0,29.0,0.018905158677717308,5.001193758542436e-05
14,8,INTERMEDIATE,1,1024.0,61.0,53.0,57.0,0.005,3.981380956894314e-05
15,8,COMPLETED,1,1024.0,61.0,53.0,57.0,0.005,3.981380956894314e-05
16,9,INTERMEDIATE,1,1024.0,50.0,16.0,30.0,0.005,5.5309339504139695e-05
17,9,COMPLETED,1,1024.0,50.0,16.0,30.0,0.005,5.5309339504139695e-05
18,10,INTERMEDIATE,1,2048.0,80.0,64.0,64.0,0.005,5.398599361246048e-05
19,10,COMPLETED,1,2048.0,80.0,64.0,64.0,0.005,5.398599361246048e-05
20,11,INTERMEDIATE,1,1024.0,20.0,16.0,64.0,0.005,8.652024916456785e-05
21,11,COMPLETED,1,1024.0,20.0,16.0,64.0,0.005,8.652024916456785e-05
22,12,INTERMEDIATE,1,1024.0,20.0,50.0,64.0,0.05,9.398140192620157e-05
23,12,COMPLETED,1,1024.0,20.0,50.0,64.0,0.05,9.398140192620157e-05
24,13,INTERMEDIATE,1,1024.0,39.0,29.0,47.0,0.005,6.0818436249646345e-05
25,13,COMPLETED,1,1024.0,39.0,29.0,47.0,0.005,6.0818436249646345e-05
26,14,INTERMEDIATE,1,1024.0,55.0,32.0,36.0,0.005,4.305126226852602e-05
27,14,COMPLETED,1,1024.0,55.0,32.0,36.0,0.005,4.305126226852602e-05
28,15,INTERMEDIATE,1,1024.0,20.0,16.0,37.0,0.05,0.0002093535177811394
29,15,COMPLETED,1,1024.0,20.0,16.0,37.0,0.05,0.0002093535177811394
30,16,INTERMEDIATE,1,2048.0,80.0,16.0,64.0,0.05,0.011197006163022096
31,16,COMPLETED,1,2048.0,80.0,16.0,64.0,0.05,0.011197006163022096
32,17,INTERMEDIATE,1,2048.0,38.0,64.0,64.0,0.05,0.0024297593615661083
33,17,COMPLETED,1,2048.0,38.0,64.0,64.0,0.05,0.0024297593615661083
34,18,INTERMEDIATE,1,1024.0,41.0,24.0,35.0,0.05,0.0010953101189674298
35,18,COMPLETED,1,1024.0,41.0,24.0,35.0,0.05,0.0010953101189674298
36,19,INTERMEDIATE,1,1024.0,80.0,16.0,27.0,0.005,7.105476530424526e-05
37,19,COMPLETED,1,1024.0,80.0,16.0,27.0,0.005,7.105476530424526e-05
38,20,INTERMEDIATE,1,2048.0,20.0,33.0,52.0,0.005,8.353310871620616e-05
39,20,COMPLETED,1,2048.0,20.0,33.0,52.0,0.005,8.353310871620616e-05
40,21,INTERMEDIATE,1,1024.0,38.0,39.0,64.0,0.005,8.738675964640078e-05
41,21,COMPLETED,1,1024.0,38.0,39.0,64.0,0.005,8.738675964640078e-05
42,22,INTERMEDIATE,1,1024.0,80.0,64.0,50.0,0.05,0.05770245229423524
43,22,COMPLETED,1,1024.0,80.0,64.0,50.0,0.05,0.05770245229423524
44,23,INTERMEDIATE,1,2048.0,76.0,44.0,36.0,0.006093715216128599,8.236045791619952e-05
45,23,COMPLETED,1,2048.0,76.0,44.0,36.0,0.006093715216128599,8.236045791619952e-05
46,24,INTERMEDIATE,1,2048.0,57.0,40.0,54.0,0.005,8.307886608697456e-05
47,24,COMPLETED,1,2048.0,57.0,40.0,54.0,0.005,8.307886608697456e-05
48,25,INTERMEDIATE,1,1024.0,34.0,47.0,52.0,0.04817659103781108,0.0002712195360552745
49,25,COMPLETED,1,1024.0,34.0,47.0,52.0,0.04817659103781108,0.0002712195360552745
50,26,INTERMEDIATE,1,2048.0,70.0,47.0,64.0,0.005,6.301954391386282e-05
51,26,COMPLETED,1,2048.0,70.0,47.0,64.0,0.005,6.301954391386282e-05
52,27,INTERMEDIATE,1,512.0,51.0,51.0,64.0,0.005,9.753862927498595e-05
53,27,COMPLETED,1,512.0,51.0,51.0,64.0,0.005,9.753862927498595e-05
54,28,INTERMEDIATE,1,2048.0,29.0,16.0,51.0,0.05,0.00016591148263276866
