,Trial-ID,Status,Iteration,batch_size,gru_hidden,hidden_unit1,hidden_unit2,lr,Objective
0,1,INTERMEDIATE,1,512.0,55.0,53.0,61.0,0.02272526380428829,0.0003995269187917873
1,1,COMPLETED,1,512.0,55.0,53.0,61.0,0.02272526380428829,0.0003995269187917873
2,2,INTERMEDIATE,1,1024.0,68.0,39.0,56.0,0.04695515600569522,0.00013717572947879862
3,2,COMPLETED,1,1024.0,68.0,39.0,56.0,0.04695515600569522,0.00013717572947879862
4,3,INTERMEDIATE,1,512.0,37.0,39.0,50.0,0.02548345081457903,0.0001547950343904977
5,3,COMPLETED,1,512.0,37.0,39.0,50.0,0.02548345081457903,0.0001547950343904977
6,4,INTERMEDIATE,1,1024.0,28.0,26.0,7.0,0.016261668248101723,0.00019810430636928964
7,4,COMPLETED,1,1024.0,28.0,26.0,7.0,0.016261668248101723,0.00019810430636928964
8,5,INTERMEDIATE,1,512.0,64.0,39.0,30.0,0.008485790828511171,0.00011656652798134713
9,5,COMPLETED,1,512.0,64.0,39.0,30.0,0.008485790828511171,0.00011656652798134713
10,6,INTERMEDIATE,1,512.0,65.0,31.0,29.0,0.01411199447004835,6.310058361241594e-05
11,6,COMPLETED,1,512.0,65.0,31.0,29.0,0.01411199447004835,6.310058361241594e-05
12,7,INTERMEDIATE,1,512.0,66.0,29.0,35.0,0.025703647742642503,3.1573448590132736e-05
13,7,COMPLETED,1,512.0,66.0,29.0,35.0,0.025703647742642503,3.1573448590132736e-05
14,8,INTERMEDIATE,1,1024.0,73.0,22.0,41.0,0.05,0.0015403191078390552
15,8,COMPLETED,1,1024.0,73.0,22.0,41.0,0.05,0.0015403191078390552
16,9,INTERMEDIATE,1,512.0,64.0,33.0,34.0,0.016988716270158875,2.287100480823894e-05
17,9,COMPLETED,1,512.0,64.0,33.0,34.0,0.016988716270158875,2.287100480823894e-05
18,10,INTERMEDIATE,1,512.0,60.0,28.0,33.0,0.030275804777029288,7.537880291149941e-05
19,10,COMPLETED,1,512.0,60.0,28.0,33.0,0.030275804777029288,7.537880291149941e-05
20,11,INTERMEDIATE,1,512.0,59.0,38.0,43.0,0.04284151586163931,0.0038144395731632736
21,11,COMPLETED,1,512.0,59.0,38.0,43.0,0.04284151586163931,0.0038144395731632736
22,12,INTERMEDIATE,1,512.0,70.0,35.0,31.0,0.005,2.6238906051543317e-05
23,12,COMPLETED,1,512.0,70.0,35.0,31.0,0.005,2.6238906051543317e-05
24,13,INTERMEDIATE,1,1024.0,72.0,41.0,63.0,0.04692569758514298,0.0021991874640265117
25,13,COMPLETED,1,1024.0,72.0,41.0,63.0,0.04692569758514298,0.0021991874640265117
26,14,INTERMEDIATE,1,2048.0,68.0,37.0,26.0,0.05,0.0027533743511896705
27,14,COMPLETED,1,2048.0,68.0,37.0,26.0,0.05,0.0027533743511896705
28,15,INTERMEDIATE,1,512.0,64.0,30.0,32.0,0.019791270336618164,2.4297215320860044e-05
29,15,COMPLETED,1,512.0,64.0,30.0,32.0,0.019791270336618164,2.4297215320860044e-05
30,16,INTERMEDIATE,1,512.0,68.0,33.0,33.0,0.005,2.9140562303372168e-05
31,16,COMPLETED,1,512.0,68.0,33.0,33.0,0.005,2.9140562303372168e-05
32,17,INTERMEDIATE,1,512.0,71.0,36.0,34.0,0.005,1.7662938002950447e-05
33,17,COMPLETED,1,512.0,71.0,36.0,34.0,0.005,1.7662938002950447e-05
34,18,INTERMEDIATE,1,512.0,60.0,35.0,30.0,0.005,5.175779303062571e-05
35,18,COMPLETED,1,512.0,60.0,35.0,30.0,0.005,5.175779303062571e-05
36,19,INTERMEDIATE,1,512.0,60.0,27.0,27.0,0.005,1.7675690401348002e-05
37,19,COMPLETED,1,512.0,60.0,27.0,27.0,0.005,1.7675690401348002e-05
38,20,INTERMEDIATE,1,512.0,65.0,24.0,29.0,0.005,2.539433503055031e-05
39,20,COMPLETED,1,512.0,65.0,24.0,29.0,0.005,2.539433503055031e-05
40,21,INTERMEDIATE,1,512.0,74.0,32.0,32.0,0.005,4.047942839571953e-05
41,21,COMPLETED,1,512.0,74.0,32.0,32.0,0.005,4.047942839571953e-05
42,22,INTERMEDIATE,1,512.0,58.0,21.0,30.0,0.005,2.332663051931278e-05
43,22,COMPLETED,1,512.0,58.0,21.0,30.0,0.005,2.332663051931278e-05
44,23,INTERMEDIATE,1,512.0,61.0,20.0,23.0,0.005,4.647645750132074e-05
45,23,COMPLETED,1,512.0,61.0,20.0,23.0,0.005,4.647645750132074e-05
