,Trial-ID,Status,Iteration,batch_size,hidden_unit1,hidden_unit2,lr,lstm_hidden,Objective
0,1,INTERMEDIATE,1,2048.0,56.0,28.0,0.003868492251183915,70.0,1.1514034175533177e-05
1,1,COMPLETED,1,2048.0,56.0,28.0,0.003868492251183915,70.0,1.1514034175533177e-05
2,2,INTERMEDIATE,1,1024.0,54.0,3.0,0.004934288178992071,57.0,0.00023060416924219884
3,2,COMPLETED,1,1024.0,54.0,3.0,0.004934288178992071,57.0,0.00023060416924219884
4,3,INTERMEDIATE,1,512.0,27.0,0.0,0.004342150278261417,117.0,3.964458341353176e-06
5,3,COMPLETED,1,512.0,27.0,0.0,0.004342150278261417,117.0,3.964458341353176e-06
6,4,INTERMEDIATE,1,1024.0,28.0,40.0,0.002931643980383848,85.0,1.5010016632900005e-05
7,4,COMPLETED,1,1024.0,28.0,40.0,0.002931643980383848,85.0,1.5010016632900005e-05
8,5,INTERMEDIATE,1,2048.0,18.0,25.0,0.001691025085521919,52.0,0.00010053257549219262
9,5,COMPLETED,1,2048.0,18.0,25.0,0.001691025085521919,52.0,0.00010053257549219262
10,6,INTERMEDIATE,1,512.0,48.0,33.0,0.0036118145197401785,72.0,2.201092861407209e-05
11,6,COMPLETED,1,512.0,48.0,33.0,0.0036118145197401785,72.0,2.201092861407209e-05
12,7,INTERMEDIATE,1,512.0,27.0,1.0,0.0037842631439980955,117.0,0.03285090846445543
13,7,COMPLETED,1,512.0,27.0,1.0,0.0037842631439980955,117.0,0.03285090846445543
14,8,INTERMEDIATE,1,512.0,17.0,42.0,0.0018945149108725219,104.0,0.0001110432269172812
15,8,COMPLETED,1,512.0,17.0,42.0,0.0018945149108725219,104.0,0.0001110432269172812
16,9,INTERMEDIATE,1,2048.0,48.0,17.0,0.004973906991111807,110.0,7.545687498651335e-06
17,9,COMPLETED,1,2048.0,48.0,17.0,0.004973906991111807,110.0,7.545687498651335e-06
18,10,INTERMEDIATE,1,2048.0,52.0,18.0,0.0011425429769743502,78.0,2.3971220897171968e-05
19,10,COMPLETED,1,2048.0,52.0,18.0,0.0011425429769743502,78.0,2.3971220897171968e-05
20,11,INTERMEDIATE,1,1024.0,38.0,21.0,0.00344949286891666,94.0,1.768966018831793e-05
21,11,COMPLETED,1,1024.0,38.0,21.0,0.00344949286891666,94.0,1.768966018831793e-05
22,12,INTERMEDIATE,1,512.0,54.0,14.0,0.004039012368309197,99.0,0.00012934761348316496
23,12,COMPLETED,1,512.0,54.0,14.0,0.004039012368309197,99.0,0.00012934761348316496
24,13,INTERMEDIATE,1,2048.0,54.0,49.0,0.0020271164799585883,133.0,5.46323839706362e-05
25,13,COMPLETED,1,2048.0,54.0,49.0,0.0020271164799585883,133.0,5.46323839706362e-05
26,14,INTERMEDIATE,1,1024.0,55.0,3.0,0.0029565633685796535,58.0,1.145029251088763e-05
27,14,COMPLETED,1,1024.0,55.0,3.0,0.0029565633685796535,58.0,1.145029251088763e-05
28,15,INTERMEDIATE,1,512.0,37.0,20.0,0.004070101866669231,130.0,7.597992090625327e-06
29,15,COMPLETED,1,512.0,37.0,20.0,0.004070101866669231,130.0,7.597992090625327e-06
30,16,INTERMEDIATE,1,2048.0,55.0,4.0,0.0028021063428226817,58.0,0.0003758982726191209
31,16,COMPLETED,1,2048.0,55.0,4.0,0.0028021063428226817,58.0,0.0003758982726191209
32,17,INTERMEDIATE,1,512.0,53.0,15.0,0.0033409602537159376,100.0,1.364681835384905e-05
33,17,COMPLETED,1,512.0,53.0,15.0,0.0033409602537159376,100.0,1.364681835384905e-05
34,18,INTERMEDIATE,1,2048.0,57.0,28.0,0.0021279605946277853,71.0,1.0320904179820542e-05
35,18,COMPLETED,1,2048.0,57.0,28.0,0.0021279605946277853,71.0,1.0320904179820542e-05
