,Trial-ID,Status,Iteration,batch_size,hidden_unit1,hidden_unit2,lr,lstm_hidden,Objective
0,1,INTERMEDIATE,1,512.0,55.0,27.0,0.004126176549415895,129.0,0.012549797495289665
1,1,COMPLETED,1,512.0,55.0,27.0,0.004126176549415895,129.0,0.012549797495289665
2,2,INTERMEDIATE,1,1024.0,20.0,34.0,0.004915952247713884,82.0,0.011574891470106926
3,2,COMPLETED,1,1024.0,20.0,34.0,0.004915952247713884,82.0,0.011574891470106926
4,3,INTERMEDIATE,1,1024.0,34.0,38.0,0.0014050895092125974,123.0,0.012168578365325096
5,3,COMPLETED,1,1024.0,34.0,38.0,0.0014050895092125974,123.0,0.012168578365325096
6,4,INTERMEDIATE,1,2048.0,55.0,18.0,0.003672182340086042,100.0,0.013529051829354283
7,4,COMPLETED,1,2048.0,55.0,18.0,0.003672182340086042,100.0,0.013529051829354283
8,5,INTERMEDIATE,1,1024.0,39.0,41.0,0.0042931194242659424,120.0,0.012918330353296795
9,5,COMPLETED,1,1024.0,39.0,41.0,0.0042931194242659424,120.0,0.012918330353296795
10,6,INTERMEDIATE,1,2048.0,37.0,12.0,0.002844251676743861,131.0,0.01375403159180319
11,6,COMPLETED,1,2048.0,37.0,12.0,0.002844251676743861,131.0,0.01375403159180319
12,7,INTERMEDIATE,1,1024.0,22.0,35.0,0.0032755609071342057,79.0,0.011591717289611189
13,7,COMPLETED,1,1024.0,22.0,35.0,0.0032755609071342057,79.0,0.011591717289611189
14,8,INTERMEDIATE,1,1024.0,16.0,38.0,0.002799727120053256,79.0,0.011834494571536893
15,8,COMPLETED,1,1024.0,16.0,38.0,0.002799727120053256,79.0,0.011834494571536893
16,9,INTERMEDIATE,1,1024.0,20.0,27.0,0.005,78.0,0.011866521587882484
17,9,COMPLETED,1,1024.0,20.0,27.0,0.005,78.0,0.011866521587882484
18,10,INTERMEDIATE,1,512.0,26.0,38.0,0.0005,86.0,0.011639979329369715
19,10,COMPLETED,1,512.0,26.0,38.0,0.0005,86.0,0.011639979329369715
20,11,INTERMEDIATE,1,1024.0,19.0,40.0,0.0005,127.0,0.013004834183074633
21,11,COMPLETED,1,1024.0,19.0,40.0,0.0005,127.0,0.013004834183074633
22,12,INTERMEDIATE,1,2048.0,27.0,31.0,0.005,84.0,0.012156952114097409
23,12,COMPLETED,1,2048.0,27.0,31.0,0.005,84.0,0.012156952114097409
24,13,INTERMEDIATE,1,1024.0,23.0,42.0,0.005,84.0,0.011562988997821837
25,13,COMPLETED,1,1024.0,23.0,42.0,0.005,84.0,0.011562988997821837
26,14,INTERMEDIATE,1,512.0,31.0,47.0,0.0005,78.0,0.01188842510553229
27,14,COMPLETED,1,512.0,31.0,47.0,0.0005,78.0,0.01188842510553229
28,15,INTERMEDIATE,1,512.0,18.0,40.0,0.0005,93.0,0.012464173836115927
29,15,COMPLETED,1,512.0,18.0,40.0,0.0005,93.0,0.012464173836115927
30,16,INTERMEDIATE,1,512.0,24.0,39.0,0.0005,82.0,0.012260004292803255
31,16,COMPLETED,1,512.0,24.0,39.0,0.0005,82.0,0.012260004292803255
32,17,INTERMEDIATE,1,1024.0,16.0,41.0,0.005,60.0,0.01258788951918049
33,17,COMPLETED,1,1024.0,16.0,41.0,0.005,60.0,0.01258788951918049
34,18,INTERMEDIATE,1,1024.0,22.0,37.0,0.005,79.0,0.011766762681252504
35,18,COMPLETED,1,1024.0,22.0,37.0,0.005,79.0,0.011766762681252504
36,19,INTERMEDIATE,1,1024.0,25.0,42.0,0.005,87.0,0.011657449456647113
37,19,COMPLETED,1,1024.0,25.0,42.0,0.005,87.0,0.011657449456647113
38,20,INTERMEDIATE,1,1024.0,21.0,45.0,0.005,84.0,0.012719466756882708
39,20,COMPLETED,1,1024.0,21.0,45.0,0.005,84.0,0.012719466756882708
40,21,INTERMEDIATE,1,1024.0,24.0,40.0,0.005,86.0,0.011409663682124312
41,21,COMPLETED,1,1024.0,24.0,40.0,0.005,86.0,0.011409663682124312
42,22,INTERMEDIATE,1,1024.0,19.0,33.0,0.005,78.0,0.01163890772774221
43,22,COMPLETED,1,1024.0,19.0,33.0,0.005,78.0,0.01163890772774221
44,23,INTERMEDIATE,1,1024.0,22.0,37.0,0.005,87.0,0.011805166822131386
45,23,COMPLETED,1,1024.0,22.0,37.0,0.005,87.0,0.011805166822131386
46,24,INTERMEDIATE,1,1024.0,16.0,31.0,0.0005,82.0,0.013128162319880251
47,24,COMPLETED,1,1024.0,16.0,31.0,0.0005,82.0,0.013128162319880251
48,25,INTERMEDIATE,1,1024.0,20.0,35.0,0.005,80.0,0.011674224597858354
49,25,COMPLETED,1,1024.0,20.0,35.0,0.005,80.0,0.011674224597858354
50,26,INTERMEDIATE,1,1024.0,22.0,32.0,0.005,77.0,0.011884129977081296
51,26,COMPLETED,1,1024.0,22.0,32.0,0.005,77.0,0.011884129977081296
52,27,INTERMEDIATE,1,1024.0,25.0,41.0,0.005,85.0,0.012244784296694062
53,27,COMPLETED,1,1024.0,25.0,41.0,0.005,85.0,0.012244784296694062
