,Trial-ID,Status,Iteration,batch_size,hidden_unit1,hidden_unit2,lr,lstm_hidden,Objective
0,1,INTERMEDIATE,1,512.0,16.0,33.0,0.0005582919908649551,107.0,0.0001341828237752201
1,1,COMPLETED,1,512.0,16.0,33.0,0.0005582919908649551,107.0,0.0001341828237752201
2,2,INTERMEDIATE,1,2048.0,30.0,5.0,0.0016125915015086781,104.0,0.017093280462402376
3,2,COMPLETED,1,2048.0,30.0,5.0,0.0016125915015086781,104.0,0.017093280462402376
4,3,INTERMEDIATE,1,1024.0,46.0,40.0,0.004537480632974399,124.0,5.929802781972439e-05
5,3,COMPLETED,1,1024.0,46.0,40.0,0.004537480632974399,124.0,5.929802781972439e-05
6,4,INTERMEDIATE,1,1024.0,23.0,29.0,0.004345029931635307,50.0,3.636917652082151e-05
7,4,COMPLETED,1,1024.0,23.0,29.0,0.004345029931635307,50.0,3.636917652082151e-05
8,5,INTERMEDIATE,1,2048.0,53.0,20.0,0.0044558711636223155,97.0,0.00014354522019901697
9,5,COMPLETED,1,2048.0,53.0,20.0,0.0044558711636223155,97.0,0.00014354522019901697
10,6,INTERMEDIATE,1,512.0,24.0,38.0,0.0046040942824463315,108.0,6.009318862445654e-05
11,6,COMPLETED,1,512.0,24.0,38.0,0.0046040942824463315,108.0,6.009318862445654e-05
12,7,INTERMEDIATE,1,2048.0,54.0,34.0,0.005,106.0,4.575117577544526e-05
13,7,COMPLETED,1,2048.0,54.0,34.0,0.005,106.0,4.575117577544526e-05
14,8,INTERMEDIATE,1,2048.0,64.0,28.0,0.005,89.0,6.520916980449886e-05
15,8,COMPLETED,1,2048.0,64.0,28.0,0.005,89.0,6.520916980449886e-05
16,9,INTERMEDIATE,1,2048.0,22.0,29.0,0.0023393075001655384,51.0,0.0001398707692560812
17,9,COMPLETED,1,2048.0,22.0,29.0,0.0023393075001655384,51.0,0.0001398707692560812
18,10,INTERMEDIATE,1,512.0,16.0,54.0,0.0005,117.0,9.491220270386192e-05
19,10,COMPLETED,1,512.0,16.0,54.0,0.0005,117.0,9.491220270386192e-05
20,11,INTERMEDIATE,1,512.0,16.0,50.0,0.0005,90.0,5.473973043967044e-05
21,11,COMPLETED,1,512.0,16.0,50.0,0.0005,90.0,5.473973043967044e-05
22,12,INTERMEDIATE,1,1024.0,42.0,50.0,0.005,57.0,8.610536654138042e-05
23,12,COMPLETED,1,1024.0,42.0,50.0,0.005,57.0,8.610536654138042e-05
24,13,INTERMEDIATE,1,1024.0,17.0,55.0,0.005,40.0,4.054447798349713e-05
25,13,COMPLETED,1,1024.0,17.0,55.0,0.005,40.0,4.054447798349713e-05
26,14,INTERMEDIATE,1,512.0,52.0,28.0,0.0005,40.0,6.015291510056374e-05
27,14,COMPLETED,1,512.0,52.0,28.0,0.0005,40.0,6.015291510056374e-05
28,15,INTERMEDIATE,1,512.0,57.0,64.0,0.0005,132.0,5.144882290065165e-05
29,15,COMPLETED,1,512.0,57.0,64.0,0.0005,132.0,5.144882290065165e-05
30,16,INTERMEDIATE,1,1024.0,45.0,64.0,0.0005,104.0,0.00010681508565131413
31,16,COMPLETED,1,1024.0,45.0,64.0,0.0005,104.0,0.00010681508565131413
32,17,INTERMEDIATE,1,512.0,64.0,64.0,0.0005,40.0,7.826979218915818e-05
33,17,COMPLETED,1,512.0,64.0,64.0,0.0005,40.0,7.826979218915818e-05
34,18,INTERMEDIATE,1,1024.0,33.0,57.0,0.005,140.0,2.527985294561832e-05
35,18,COMPLETED,1,1024.0,33.0,57.0,0.005,140.0,2.527985294561832e-05
36,19,INTERMEDIATE,1,512.0,64.0,64.0,0.0005,73.0,5.366018901892016e-05
37,19,COMPLETED,1,512.0,64.0,64.0,0.0005,73.0,5.366018901892016e-05
38,20,INTERMEDIATE,1,1024.0,64.0,0.0,0.005,40.0,2.5670130378977522e-05
39,20,COMPLETED,1,1024.0,64.0,0.0,0.005,40.0,2.5670130378977522e-05
40,21,INTERMEDIATE,1,512.0,64.0,40.0,0.005,140.0,7.601352351589778e-05
41,21,COMPLETED,1,512.0,64.0,40.0,0.005,140.0,7.601352351589778e-05
42,22,INTERMEDIATE,1,512.0,35.0,3.0,0.005,40.0,0.0027770786403430074
43,22,COMPLETED,1,512.0,35.0,3.0,0.005,40.0,0.0027770786403430074
44,23,INTERMEDIATE,1,512.0,45.0,45.0,0.005,84.0,2.1087535137016378e-05
45,23,COMPLETED,1,512.0,45.0,45.0,0.005,84.0,2.1087535137016378e-05
46,24,INTERMEDIATE,1,1024.0,64.0,38.0,0.005,56.0,2.3527531210272185e-05
47,24,COMPLETED,1,1024.0,64.0,38.0,0.005,56.0,2.3527531210272185e-05
48,25,INTERMEDIATE,1,1024.0,16.0,64.0,0.005,64.0,3.377735268389024e-05
49,25,COMPLETED,1,1024.0,16.0,64.0,0.005,64.0,3.377735268389024e-05
50,26,INTERMEDIATE,1,512.0,64.0,20.0,0.005,102.0,1.354446511754921e-05
51,26,COMPLETED,1,512.0,64.0,20.0,0.005,102.0,1.354446511754921e-05
52,27,INTERMEDIATE,1,512.0,16.0,40.0,0.0005,140.0,7.527009254247665e-05
53,27,COMPLETED,1,512.0,16.0,40.0,0.0005,140.0,7.527009254247665e-05
54,28,INTERMEDIATE,1,1024.0,64.0,12.0,0.005,63.0,6.07828288283832e-05
55,28,COMPLETED,1,1024.0,64.0,12.0,0.005,63.0,6.07828288283832e-05
56,29,INTERMEDIATE,1,512.0,39.0,64.0,0.0005,40.0,5.258949185218458e-05
57,29,COMPLETED,1,512.0,39.0,64.0,0.0005,40.0,5.258949185218458e-05
58,30,INTERMEDIATE,1,512.0,16.0,43.0,0.0005,107.0,0.0001230074895134068
59,30,COMPLETED,1,512.0,16.0,43.0,0.0005,107.0,0.0001230074895134068
60,31,INTERMEDIATE,1,1024.0,34.0,64.0,0.0005,79.0,0.00010544422548653689
61,31,COMPLETED,1,1024.0,34.0,64.0,0.0005,79.0,0.00010544422548653689
62,32,INTERMEDIATE,1,2048.0,16.0,64.0,0.0005,140.0,0.00018098863835453444
63,32,COMPLETED,1,2048.0,16.0,64.0,0.0005,140.0,0.00018098863835453444
64,33,INTERMEDIATE,1,1024.0,32.0,41.0,0.005,40.0,2.6235826475855624e-05
65,33,COMPLETED,1,1024.0,32.0,41.0,0.005,40.0,2.6235826475855624e-05
