,Trial-ID,Status,Iteration,hidden1,hidden2,hidden_pm,hidden_tooth,hidden_winding,hidden_yoke,input_rec,lr,output_rec,window,Objective
0,1,INTERMEDIATE,1,35.0,10.0,10.0,16.0,6.0,7.0,0.0,0.0006423098522126265,0.0,1.0,118.77930856123567
1,1,COMPLETED,1,35.0,10.0,10.0,16.0,6.0,7.0,0.0,0.0006423098522126265,0.0,1.0,118.77930856123567
2,2,INTERMEDIATE,1,26.0,36.0,4.0,18.0,17.0,7.0,0.0,0.000741211859106483,0.0,6.0,233.35450249165297
3,2,COMPLETED,1,26.0,36.0,4.0,18.0,17.0,7.0,0.0,0.000741211859106483,0.0,6.0,233.35450249165297
4,3,INTERMEDIATE,1,37.0,17.0,7.0,4.0,7.0,10.0,0.0,0.0008841422523703102,0.0,7.0,206.73510696738958
5,3,COMPLETED,1,37.0,17.0,7.0,4.0,7.0,10.0,0.0,0.0008841422523703102,0.0,7.0,206.73510696738958
6,4,INTERMEDIATE,1,17.0,45.0,14.0,17.0,18.0,6.0,0.0,0.0009074509545594621,0.0,9.0,193.59946112893522
7,4,COMPLETED,1,17.0,45.0,14.0,17.0,18.0,6.0,0.0,0.0009074509545594621,0.0,9.0,193.59946112893522
8,5,INTERMEDIATE,1,41.0,22.0,10.0,19.0,11.0,9.0,0.0,0.0007732271040107255,0.0,3.0,226.96241283416748
9,5,COMPLETED,1,41.0,22.0,10.0,19.0,11.0,9.0,0.0,0.0007732271040107255,0.0,3.0,226.96241283416748
10,6,INTERMEDIATE,1,15.0,29.0,18.0,3.0,7.0,13.0,0.0,0.0001554071829792112,0.0,5.0,52.88864116114564
11,6,COMPLETED,1,15.0,29.0,18.0,3.0,7.0,13.0,0.0,0.0001554071829792112,0.0,5.0,52.88864116114564
12,7,INTERMEDIATE,1,42.0,12.0,8.0,18.0,11.0,6.0,0.0,0.0004894271698144349,0.0,8.0,87.51001264713705
13,7,COMPLETED,1,42.0,12.0,8.0,18.0,11.0,6.0,0.0,0.0004894271698144349,0.0,8.0,87.51001264713705
14,8,INTERMEDIATE,1,38.0,34.0,3.0,15.0,13.0,7.0,0.0,3.163867345047221e-05,0.0,1.0,141.73015239741653
15,8,COMPLETED,1,38.0,34.0,3.0,15.0,13.0,7.0,0.0,3.163867345047221e-05,0.0,1.0,141.73015239741653
16,9,INTERMEDIATE,1,34.0,46.0,13.0,16.0,3.0,4.0,0.0,0.0008732426554477141,0.0,1.0,156.00910115102306
17,9,COMPLETED,1,34.0,46.0,13.0,16.0,3.0,4.0,0.0,0.0008732426554477141,0.0,1.0,156.00910115102306
18,10,INTERMEDIATE,1,17.0,39.0,7.0,10.0,7.0,6.0,0.0,0.00045618257746796685,0.0,7.0,77.6346359308809
19,10,COMPLETED,1,17.0,39.0,7.0,10.0,7.0,6.0,0.0,0.00045618257746796685,0.0,7.0,77.6346359308809
20,11,INTERMEDIATE,1,42.0,43.0,5.0,17.0,5.0,17.0,0.0,0.0005192034685058283,0.0,6.0,143.42818834632635
21,11,COMPLETED,1,42.0,43.0,5.0,17.0,5.0,17.0,0.0,0.0005192034685058283,0.0,6.0,143.42818834632635
22,12,INTERMEDIATE,1,44.0,44.0,9.0,18.0,6.0,16.0,1.0,0.001,1.0,8.0,264.45499435067177
23,12,COMPLETED,1,44.0,44.0,9.0,18.0,6.0,16.0,1.0,0.001,1.0,8.0,264.45499435067177
24,13,INTERMEDIATE,1,34.0,13.0,11.0,15.0,8.0,10.0,0.0,0.001,0.0,2.0,198.1666785404086
25,13,COMPLETED,1,34.0,13.0,11.0,15.0,8.0,10.0,0.0,0.001,0.0,2.0,198.1666785404086
26,14,INTERMEDIATE,1,13.0,41.0,8.0,12.0,13.0,20.0,0.0,0.001,1.0,9.0,268.1994006522
27,14,COMPLETED,1,13.0,41.0,8.0,12.0,13.0,20.0,0.0,0.001,1.0,9.0,268.1994006522
28,15,INTERMEDIATE,1,17.0,31.0,17.0,4.0,6.0,9.0,0.0,0.001,0.0,3.0,223.33089439757168
29,15,COMPLETED,1,17.0,31.0,17.0,4.0,6.0,9.0,0.0,0.001,0.0,3.0,223.33089439757168
30,16,INTERMEDIATE,1,36.0,35.0,3.0,15.0,15.0,4.0,1.0,0.001,1.0,1.0,182.77703906036913
31,16,COMPLETED,1,36.0,35.0,3.0,15.0,15.0,4.0,1.0,0.001,1.0,1.0,182.77703906036913
32,17,INTERMEDIATE,1,34.0,12.0,6.0,16.0,6.0,7.0,0.0,0.001,0.0,1.0,238.33117002248764
33,17,COMPLETED,1,34.0,12.0,6.0,16.0,6.0,7.0,0.0,0.001,0.0,1.0,238.33117002248764
34,18,INTERMEDIATE,1,14.0,30.0,19.0,6.0,5.0,12.0,0.0,0.001,1.0,4.0,267.7068432494998
35,18,COMPLETED,1,14.0,30.0,19.0,6.0,5.0,12.0,0.0,0.001,1.0,4.0,267.7068432494998
36,19,INTERMEDIATE,1,18.0,39.0,11.0,10.0,6.0,7.0,1.0,0.001,0.0,7.0,272.93933096528053
37,19,COMPLETED,1,18.0,39.0,11.0,10.0,6.0,7.0,1.0,0.001,0.0,7.0,272.93933096528053
38,20,INTERMEDIATE,1,13.0,46.0,14.0,18.0,6.0,17.0,0.0,0.001,1.0,8.0,221.5384977310896
39,20,COMPLETED,1,13.0,46.0,14.0,18.0,6.0,17.0,0.0,0.001,1.0,8.0,221.5384977310896
40,21,INTERMEDIATE,1,12.0,29.0,20.0,4.0,9.0,14.0,0.0,0.001,1.0,8.0,160.72555806208402
41,21,COMPLETED,1,12.0,29.0,20.0,4.0,9.0,14.0,0.0,0.001,1.0,8.0,160.72555806208402
42,22,INTERMEDIATE,1,15.0,38.0,4.0,11.0,7.0,3.0,0.0,0.001,1.0,8.0,274.44318556552753
43,22,COMPLETED,1,15.0,38.0,4.0,11.0,7.0,3.0,0.0,0.001,1.0,8.0,274.44318556552753
44,23,INTERMEDIATE,1,17.0,38.0,7.0,11.0,9.0,6.0,1.0,0.001,0.0,9.0,218.0880702920258
45,23,COMPLETED,1,17.0,38.0,7.0,11.0,9.0,6.0,1.0,0.001,0.0,9.0,218.0880702920258
46,24,INTERMEDIATE,1,42.0,12.0,8.0,20.0,12.0,5.0,0.0,0.001,1.0,6.0,333.40401042997837
47,24,COMPLETED,1,42.0,12.0,8.0,20.0,12.0,5.0,0.0,0.001,1.0,6.0,333.40401042997837
48,25,INTERMEDIATE,1,21.0,47.0,12.0,17.0,17.0,7.0,1.0,0.001,1.0,10.0,199.70414800941944
49,25,COMPLETED,1,21.0,47.0,12.0,17.0,17.0,7.0,1.0,0.001,1.0,10.0,199.70414800941944
50,26,INTERMEDIATE,1,46.0,13.0,10.0,8.0,8.0,6.0,0.0,0.001,0.0,2.0,186.52951036766171
51,26,COMPLETED,1,46.0,13.0,10.0,8.0,8.0,6.0,0.0,0.001,0.0,2.0,186.52951036766171
52,27,INTERMEDIATE,1,18.0,45.0,13.0,18.0,20.0,6.0,0.0,0.001,0.0,6.0,210.65466075390577
53,27,COMPLETED,1,18.0,45.0,13.0,18.0,20.0,6.0,0.0,0.001,0.0,6.0,210.65466075390577
54,28,INTERMEDIATE,1,19.0,37.0,6.0,10.0,7.0,6.0,0.0,0.001,0.0,7.0,177.72995668649673
55,28,COMPLETED,1,19.0,37.0,6.0,10.0,7.0,6.0,0.0,0.001,0.0,7.0,177.72995668649673
56,29,INTERMEDIATE,1,18.0,39.0,8.0,7.0,6.0,8.0,0.0,0.001,1.0,5.0,257.80353189632297
57,29,COMPLETED,1,18.0,39.0,8.0,7.0,6.0,8.0,0.0,0.001,1.0,5.0,257.80353189632297
58,30,INTERMEDIATE,1,18.0,38.0,5.0,13.0,8.0,8.0,0.0,0.001,1.0,7.0,237.16361651569605
59,30,COMPLETED,1,18.0,38.0,5.0,13.0,8.0,8.0,0.0,0.001,1.0,7.0,237.16361651569605
60,31,INTERMEDIATE,1,33.0,15.0,12.0,15.0,10.0,9.0,0.0,0.001,0.0,1.0,222.24076313525438
61,31,COMPLETED,1,33.0,15.0,12.0,15.0,10.0,9.0,0.0,0.001,0.0,1.0,222.24076313525438
62,32,INTERMEDIATE,1,13.0,29.0,17.0,6.0,10.0,11.0,0.0,0.001,0.0,5.0,178.38523227721453
63,32,COMPLETED,1,13.0,29.0,17.0,6.0,10.0,11.0,0.0,0.001,0.0,5.0,178.38523227721453
64,33,INTERMEDIATE,1,35.0,45.0,15.0,15.0,4.0,3.0,0.0,0.001,0.0,1.0,285.7319592908025
65,33,COMPLETED,1,35.0,45.0,15.0,15.0,4.0,3.0,0.0,0.001,0.0,1.0,285.7319592908025
66,34,INTERMEDIATE,1,50.0,29.0,4.0,12.0,14.0,19.0,1.0,0.001,1.0,7.0,214.75795321911573
67,34,COMPLETED,1,50.0,29.0,4.0,12.0,14.0,19.0,1.0,0.001,1.0,7.0,214.75795321911573
68,35,INTERMEDIATE,1,16.0,44.0,14.0,17.0,17.0,7.0,1.0,0.001,0.0,9.0,221.2235874980688
69,35,COMPLETED,1,16.0,44.0,14.0,17.0,17.0,7.0,1.0,0.001,0.0,9.0,221.2235874980688
70,36,INTERMEDIATE,1,32.0,19.0,15.0,20.0,5.0,12.0,1.0,0.001,0.0,4.0,194.72991339676082
71,36,COMPLETED,1,32.0,19.0,15.0,20.0,5.0,12.0,1.0,0.001,0.0,4.0,194.72991339676082
72,37,INTERMEDIATE,1,18.0,45.0,13.0,17.0,17.0,4.0,0.0,0.001,0.0,8.0,232.80003654863685
73,37,COMPLETED,1,18.0,45.0,13.0,17.0,17.0,4.0,0.0,0.001,0.0,8.0,232.80003654863685
74,38,INTERMEDIATE,1,48.0,14.0,10.0,9.0,8.0,4.0,0.0,0.001,1.0,3.0,190.90559503808618
75,38,COMPLETED,1,48.0,14.0,10.0,9.0,8.0,4.0,0.0,0.001,1.0,3.0,190.90559503808618
76,39,INTERMEDIATE,1,42.0,43.0,4.0,18.0,5.0,15.0,1.0,0.001,0.0,5.0,200.4117567911744
77,39,COMPLETED,1,42.0,43.0,4.0,18.0,5.0,15.0,1.0,0.001,0.0,5.0,200.4117567911744
78,40,INTERMEDIATE,1,26.0,43.0,3.0,19.0,14.0,4.0,1.0,0.001,0.0,7.0,201.1819984689355
79,40,COMPLETED,1,26.0,43.0,3.0,19.0,14.0,4.0,1.0,0.001,0.0,7.0,201.1819984689355
80,41,INTERMEDIATE,1,11.0,28.0,18.0,6.0,7.0,16.0,0.0,0.001,1.0,7.0,252.36864410340786
81,41,COMPLETED,1,11.0,28.0,18.0,6.0,7.0,16.0,0.0,0.001,1.0,7.0,252.36864410340786
82,42,INTERMEDIATE,1,15.0,20.0,9.0,8.0,11.0,10.0,1.0,0.001,1.0,10.0,157.50479135662317
83,42,COMPLETED,1,15.0,20.0,9.0,8.0,11.0,10.0,1.0,0.001,1.0,10.0,157.50479135662317
84,43,INTERMEDIATE,1,18.0,36.0,7.0,12.0,6.0,7.0,1.0,0.001,1.0,6.0,207.40837872959673
85,43,COMPLETED,1,18.0,36.0,7.0,12.0,6.0,7.0,1.0,0.001,1.0,6.0,207.40837872959673
86,44,INTERMEDIATE,1,22.0,49.0,11.0,15.0,18.0,7.0,0.0,0.001,0.0,9.0,256.7406300008297
87,44,COMPLETED,1,22.0,49.0,11.0,15.0,18.0,7.0,0.0,0.001,0.0,9.0,256.7406300008297
88,45,INTERMEDIATE,1,35.0,14.0,11.0,13.0,6.0,9.0,0.0,0.001,1.0,3.0,247.84282322973013
89,45,COMPLETED,1,35.0,14.0,11.0,13.0,6.0,9.0,0.0,0.001,1.0,3.0,247.84282322973013
90,46,INTERMEDIATE,1,43.0,20.0,10.0,16.0,4.0,3.0,0.0,0.001,0.0,10.0,327.98892683535814
91,46,COMPLETED,1,43.0,20.0,10.0,16.0,4.0,3.0,0.0,0.001,0.0,10.0,327.98892683535814
92,47,INTERMEDIATE,1,43.0,15.0,9.0,17.0,12.0,7.0,1.0,0.001,0.0,10.0,241.2314883172512
