,Trial-ID,Status,Iteration,hidden,hidden1_pm,hidden1_stator,hidden2_pm,hidden2_stator,input_rec,lr,output_rec,window,Objective
0,1,INTERMEDIATE,1,31.0,11.0,7.0,6.0,13.0,0.0,0.0032290126018670604,-1.0,8.0,0.019137587281506635
1,1,COMPLETED,1,31.0,11.0,7.0,6.0,13.0,0.0,0.0032290126018670604,-1.0,8.0,0.019137587281506635
2,2,INTERMEDIATE,1,21.0,13.0,3.0,9.0,12.0,0.0,0.007029522151565224,-1.0,1.0,0.018498135067952684
3,2,COMPLETED,1,21.0,13.0,3.0,9.0,12.0,0.0,0.007029522151565224,-1.0,1.0,0.018498135067952684
4,3,INTERMEDIATE,1,32.0,5.0,4.0,3.0,16.0,0.0,0.0035530392847869727,-1.0,21.0,0.017755270352434988
5,3,COMPLETED,1,32.0,5.0,4.0,3.0,16.0,0.0,0.0035530392847869727,-1.0,21.0,0.017755270352434988
6,4,INTERMEDIATE,1,37.0,12.0,13.0,11.0,10.0,0.0,0.009496609417587369,-1.0,15.0,0.027415124598349883
7,4,COMPLETED,1,37.0,12.0,13.0,11.0,10.0,0.0,0.009496609417587369,-1.0,15.0,0.027415124598349883
8,5,INTERMEDIATE,1,12.0,8.0,15.0,8.0,3.0,0.0,0.003141653985744966,-1.0,10.0,0.02963035403416689
9,5,COMPLETED,1,12.0,8.0,15.0,8.0,3.0,0.0,0.003141653985744966,-1.0,10.0,0.02963035403416689
10,6,INTERMEDIATE,1,35.0,13.0,4.0,6.0,14.0,0.0,0.009202917296965592,-1.0,8.0,0.020059654017416138
11,6,COMPLETED,1,35.0,13.0,4.0,6.0,14.0,0.0,0.009202917296965592,-1.0,8.0,0.020059654017416138
12,7,INTERMEDIATE,1,30.0,10.0,10.0,8.0,16.0,0.0,0.002903432830024791,-1.0,26.0,0.019106493805173805
13,7,COMPLETED,1,30.0,10.0,10.0,8.0,16.0,0.0,0.002903432830024791,-1.0,26.0,0.019106493805173805
14,8,INTERMEDIATE,1,32.0,13.0,14.0,19.0,6.0,0.0,0.008155303155599303,-1.0,12.0,0.02537284742509804
15,8,COMPLETED,1,32.0,13.0,14.0,19.0,6.0,0.0,0.008155303155599303,-1.0,12.0,0.02537284742509804
16,9,INTERMEDIATE,1,21.0,5.0,3.0,4.0,3.0,0.0,0.007350373103303543,-1.0,8.0,0.01936102858460536
17,9,COMPLETED,1,21.0,5.0,3.0,4.0,3.0,0.0,0.007350373103303543,-1.0,8.0,0.01936102858460536
18,10,INTERMEDIATE,1,11.0,15.0,5.0,16.0,13.0,0.0,0.006151751876287273,-1.0,16.0,0.034358056219722294
19,10,COMPLETED,1,11.0,15.0,5.0,16.0,13.0,0.0,0.006151751876287273,-1.0,16.0,0.034358056219722294
20,11,INTERMEDIATE,1,26.0,5.0,4.0,3.0,9.0,1.0,0.01,-1.0,4.0,0.018196708927527987
21,11,COMPLETED,1,26.0,5.0,4.0,3.0,9.0,1.0,0.01,-1.0,4.0,0.018196708927527987
22,12,INTERMEDIATE,1,27.0,19.0,3.0,6.0,10.0,0.0,0.01,-1.0,1.0,0.055278607791459405
23,12,COMPLETED,1,27.0,19.0,3.0,6.0,10.0,0.0,0.01,-1.0,1.0,0.055278607791459405
24,13,INTERMEDIATE,1,20.0,11.0,5.0,9.0,10.0,1.0,0.01,0.0,1.0,0.023459970022640556
25,13,COMPLETED,1,20.0,11.0,5.0,9.0,10.0,1.0,0.01,0.0,1.0,0.023459970022640556
26,14,INTERMEDIATE,1,34.0,9.0,4.0,4.0,13.0,1.0,0.01,0.0,7.0,0.017377828533006456
27,14,COMPLETED,1,34.0,9.0,4.0,4.0,13.0,1.0,0.01,0.0,7.0,0.017377828533006456
28,15,INTERMEDIATE,1,28.0,8.0,4.0,4.0,9.0,1.0,0.01,0.0,5.0,0.016390838117037624
29,15,COMPLETED,1,28.0,8.0,4.0,4.0,9.0,1.0,0.01,0.0,5.0,0.016390838117037624
30,16,INTERMEDIATE,1,25.0,7.0,4.0,4.0,5.0,0.0,0.01,-1.0,8.0,0.021788404228992538
31,16,COMPLETED,1,25.0,7.0,4.0,4.0,5.0,0.0,0.01,-1.0,8.0,0.021788404228992538
32,17,INTERMEDIATE,1,22.0,9.0,3.0,13.0,16.0,0.0,0.01,-1.0,1.0,0.018482596593101083
33,17,COMPLETED,1,22.0,9.0,3.0,13.0,16.0,0.0,0.01,-1.0,1.0,0.018482596593101083
34,18,INTERMEDIATE,1,29.0,8.0,4.0,6.0,18.0,1.0,0.01,-1.0,12.0,0.01720952633174767
35,18,COMPLETED,1,29.0,8.0,4.0,6.0,18.0,1.0,0.01,-1.0,12.0,0.01720952633174767
36,19,INTERMEDIATE,1,29.0,7.0,3.0,6.0,15.0,1.0,0.01,-1.0,6.0,0.016627600973029497
37,19,COMPLETED,1,29.0,7.0,3.0,6.0,15.0,1.0,0.01,-1.0,6.0,0.016627600973029497
38,20,INTERMEDIATE,1,27.0,7.0,3.0,6.0,12.0,1.0,0.01,0.0,12.0,0.01848483054112721
39,20,COMPLETED,1,27.0,7.0,3.0,6.0,12.0,1.0,0.01,0.0,12.0,0.01848483054112721
40,21,INTERMEDIATE,1,32.0,5.0,7.0,8.0,15.0,0.0,0.01,0.0,14.0,0.01620809850079008
41,21,COMPLETED,1,32.0,5.0,7.0,8.0,15.0,0.0,0.01,0.0,14.0,0.01620809850079008
42,22,INTERMEDIATE,1,34.0,6.0,5.0,3.0,19.0,1.0,0.01,0.0,10.0,0.01650354772335726
43,22,COMPLETED,1,34.0,6.0,5.0,3.0,19.0,1.0,0.01,0.0,10.0,0.01650354772335726
44,23,INTERMEDIATE,1,32.0,3.0,6.0,7.0,20.0,1.0,0.01,0.0,15.0,0.016067358302680447
45,23,COMPLETED,1,32.0,3.0,6.0,7.0,20.0,1.0,0.01,0.0,15.0,0.016067358302680447
46,24,INTERMEDIATE,1,34.0,3.0,6.0,4.0,11.0,1.0,0.01,-1.0,5.0,0.017378634141371474
47,24,COMPLETED,1,34.0,3.0,6.0,4.0,11.0,1.0,0.01,-1.0,5.0,0.017378634141371474
48,25,INTERMEDIATE,1,37.0,3.0,6.0,6.0,19.0,0.0,0.01,-1.0,14.0,0.016436559982263232
49,25,COMPLETED,1,37.0,3.0,6.0,6.0,19.0,0.0,0.01,-1.0,14.0,0.016436559982263232
50,26,INTERMEDIATE,1,32.0,4.0,11.0,3.0,19.0,0.0,0.01,-1.0,8.0,0.020001747533003978
51,26,COMPLETED,1,32.0,4.0,11.0,3.0,19.0,0.0,0.01,-1.0,8.0,0.020001747533003978
52,27,INTERMEDIATE,1,33.0,7.0,3.0,12.0,17.0,1.0,0.01,-1.0,8.0,0.016720828128741573
53,27,COMPLETED,1,33.0,7.0,3.0,12.0,17.0,1.0,0.01,-1.0,8.0,0.016720828128741573
54,28,INTERMEDIATE,1,31.0,3.0,10.0,13.0,20.0,0.0,0.01,0.0,30.0,0.017230720016367686
55,28,COMPLETED,1,31.0,3.0,10.0,13.0,20.0,0.0,0.01,0.0,30.0,0.017230720016367686
56,29,INTERMEDIATE,1,40.0,7.0,3.0,9.0,15.0,0.0,0.01,0.0,26.0,0.01904763202003615
57,29,COMPLETED,1,40.0,7.0,3.0,9.0,15.0,0.0,0.01,0.0,26.0,0.01904763202003615
58,30,INTERMEDIATE,1,37.0,7.0,3.0,9.0,19.0,1.0,0.01,-1.0,12.0,0.018835952155970913
59,30,COMPLETED,1,37.0,7.0,3.0,9.0,19.0,1.0,0.01,-1.0,12.0,0.018835952155970913
60,31,INTERMEDIATE,1,13.0,7.0,3.0,3.0,18.0,0.0,0.01,-1.0,2.0,0.018856886880817325
61,31,COMPLETED,1,13.0,7.0,3.0,3.0,18.0,0.0,0.01,-1.0,2.0,0.018856886880817325
62,32,INTERMEDIATE,1,21.0,4.0,11.0,4.0,20.0,1.0,0.01,-1.0,29.0,0.020712129397304938
63,32,COMPLETED,1,21.0,4.0,11.0,4.0,20.0,1.0,0.01,-1.0,29.0,0.020712129397304938
64,33,INTERMEDIATE,1,27.0,4.0,4.0,10.0,14.0,0.0,0.01,0.0,6.0,0.020055236165207175
65,33,COMPLETED,1,27.0,4.0,4.0,10.0,14.0,0.0,0.01,0.0,6.0,0.020055236165207175
66,34,INTERMEDIATE,1,37.0,3.0,15.0,20.0,19.0,0.0,0.01,0.0,28.0,0.016840815029739435
67,34,COMPLETED,1,37.0,3.0,15.0,20.0,19.0,0.0,0.01,0.0,28.0,0.016840815029739435
68,35,INTERMEDIATE,1,28.0,3.0,18.0,20.0,16.0,1.0,0.01,-1.0,30.0,0.02170077688964109
69,35,COMPLETED,1,28.0,3.0,18.0,20.0,16.0,1.0,0.01,-1.0,30.0,0.02170077688964109
70,36,INTERMEDIATE,1,36.0,3.0,6.0,19.0,20.0,0.0,0.01,-1.0,25.0,0.016079578870079908
71,36,COMPLETED,1,36.0,3.0,6.0,19.0,20.0,0.0,0.01,-1.0,25.0,0.016079578870079908
72,37,INTERMEDIATE,1,38.0,3.0,9.0,13.0,18.0,0.0,0.01,0.0,29.0,0.022660126151808603
73,37,COMPLETED,1,38.0,3.0,9.0,13.0,18.0,0.0,0.01,0.0,29.0,0.022660126151808603
74,38,INTERMEDIATE,1,30.0,3.0,9.0,20.0,20.0,1.0,0.01,-1.0,25.0,0.016382591090921758
75,38,COMPLETED,1,30.0,3.0,9.0,20.0,20.0,1.0,0.01,-1.0,25.0,0.016382591090921758
76,39,INTERMEDIATE,1,35.0,3.0,3.0,17.0,20.0,1.0,0.01,-1.0,14.0,0.018804017191536685
77,39,COMPLETED,1,35.0,3.0,3.0,17.0,20.0,1.0,0.01,-1.0,14.0,0.018804017191536685
78,40,INTERMEDIATE,1,30.0,8.0,3.0,20.0,16.0,1.0,0.01,-1.0,26.0,0.016717952578813592
79,40,COMPLETED,1,30.0,8.0,3.0,20.0,16.0,1.0,0.01,-1.0,26.0,0.016717952578813592
80,41,INTERMEDIATE,1,25.0,6.0,5.0,18.0,19.0,0.0,0.01,0.0,30.0,0.01722782348539369
81,41,COMPLETED,1,25.0,6.0,5.0,18.0,19.0,0.0,0.01,0.0,30.0,0.01722782348539369
82,42,INTERMEDIATE,1,34.0,4.0,3.0,19.0,15.0,1.0,0.01,0.0,26.0,0.05414371581712234
83,42,COMPLETED,1,34.0,4.0,3.0,19.0,15.0,1.0,0.01,0.0,26.0,0.05414371581712234
84,43,INTERMEDIATE,1,27.0,5.0,6.0,7.0,15.0,1.0,0.01,-1.0,8.0,0.01632875810707006
85,43,COMPLETED,1,27.0,5.0,6.0,7.0,15.0,1.0,0.01,-1.0,8.0,0.01632875810707006
86,44,INTERMEDIATE,1,33.0,5.0,12.0,19.0,20.0,0.0,0.01,-1.0,27.0,0.01984819171163133
87,44,COMPLETED,1,33.0,5.0,12.0,19.0,20.0,0.0,0.01,-1.0,27.0,0.01984819171163133
88,45,INTERMEDIATE,1,33.0,4.0,6.0,10.0,15.0,1.0,0.01,-1.0,9.0,0.020881082630448456
89,45,COMPLETED,1,33.0,4.0,6.0,10.0,15.0,1.0,0.01,-1.0,9.0,0.020881082630448456
90,46,INTERMEDIATE,1,33.0,5.0,4.0,5.0,13.0,1.0,0.01,-1.0,8.0,0.017552441150972355
91,46,COMPLETED,1,33.0,5.0,4.0,5.0,13.0,1.0,0.01,-1.0,8.0,0.017552441150972355
92,47,INTERMEDIATE,1,30.0,5.0,3.0,8.0,16.0,0.0,0.01,0.0,11.0,0.05327636737473189
93,47,COMPLETED,1,30.0,5.0,3.0,8.0,16.0,0.0,0.01,0.0,11.0,0.05327636737473189
94,48,INTERMEDIATE,1,33.0,3.0,4.0,4.0,10.0,1.0,0.01,-1.0,6.0,0.020540970293187653
95,48,COMPLETED,1,33.0,3.0,4.0,4.0,10.0,1.0,0.01,-1.0,6.0,0.020540970293187653
96,49,INTERMEDIATE,1,30.0,3.0,12.0,19.0,20.0,0.0,0.01,-1.0,25.0,0.017060525481355355
97,49,COMPLETED,1,30.0,3.0,12.0,19.0,20.0,0.0,0.01,-1.0,25.0,0.017060525481355355
98,50,INTERMEDIATE,1,36.0,4.0,8.0,6.0,18.0,1.0,0.01,0.0,15.0,0.015391361978655803
99,50,COMPLETED,1,36.0,4.0,8.0,6.0,18.0,1.0,0.01,0.0,15.0,0.015391361978655803
100,51,INTERMEDIATE,1,28.0,8.0,5.0,5.0,15.0,0.0,0.01,0.0,4.0,0.03240030933518394
101,51,COMPLETED,1,28.0,8.0,5.0,5.0,15.0,0.0,0.01,0.0,4.0,0.03240030933518394
