,Trial-ID,Status,Iteration,hidden,hidden1_pm,hidden1_stator,hidden2_pm,hidden2_stator,input_rec,lr,output_rec,window,Objective
0,1,INTERMEDIATE,1,19.0,9.0,8.0,10.0,15.0,0.0,0.003947317496603702,-1.0,10.0,0.021619014467600395
1,1,COMPLETED,1,19.0,9.0,8.0,10.0,15.0,0.0,0.003947317496603702,-1.0,10.0,0.021619014467600395
2,2,INTERMEDIATE,1,30.0,13.0,15.0,6.0,15.0,0.0,0.007305351650183403,-1.0,15.0,0.018592113953428233
3,2,COMPLETED,1,30.0,13.0,15.0,6.0,15.0,0.0,0.007305351650183403,-1.0,15.0,0.018592113953428233
4,3,INTERMEDIATE,1,8.0,17.0,9.0,12.0,15.0,0.0,0.00564094053296575,-1.0,2.0,0.02451197061074029
5,3,COMPLETED,1,8.0,17.0,9.0,12.0,15.0,0.0,0.00564094053296575,-1.0,2.0,0.02451197061074029
6,4,INTERMEDIATE,1,27.0,4.0,19.0,14.0,4.0,0.0,0.0011840094301301882,-1.0,1.0,0.015905816485518816
7,4,COMPLETED,1,27.0,4.0,19.0,14.0,4.0,0.0,0.0011840094301301882,-1.0,1.0,0.015905816485518816
8,5,INTERMEDIATE,1,29.0,18.0,13.0,7.0,4.0,0.0,0.008270012995712672,-1.0,19.0,0.030530411201760248
9,5,COMPLETED,1,29.0,18.0,13.0,7.0,4.0,0.0,0.008270012995712672,-1.0,19.0,0.030530411201760248
10,6,INTERMEDIATE,1,29.0,16.0,19.0,15.0,10.0,0.0,0.006660257540451445,-1.0,24.0,0.018191247610222446
11,6,COMPLETED,1,29.0,16.0,19.0,15.0,10.0,0.0,0.006660257540451445,-1.0,24.0,0.018191247610222446
12,7,INTERMEDIATE,1,26.0,5.0,14.0,11.0,5.0,0.0,0.004058579804965004,-1.0,16.0,0.013738871847963434
13,7,COMPLETED,1,26.0,5.0,14.0,11.0,5.0,0.0,0.004058579804965004,-1.0,16.0,0.013738871847963434
14,8,INTERMEDIATE,1,29.0,7.0,15.0,13.0,9.0,0.0,0.0038153800520062987,-1.0,1.0,0.020722802318163914
15,8,COMPLETED,1,29.0,7.0,15.0,13.0,9.0,0.0,0.0038153800520062987,-1.0,1.0,0.020722802318163914
16,9,INTERMEDIATE,1,33.0,9.0,15.0,6.0,14.0,0.0,0.0003250053818285928,-1.0,5.0,0.014032460524213017
17,9,COMPLETED,1,33.0,9.0,15.0,6.0,14.0,0.0,0.0003250053818285928,-1.0,5.0,0.014032460524213017
18,10,INTERMEDIATE,1,21.0,3.0,14.0,4.0,3.0,0.0,0.004627851078009942,-1.0,16.0,0.02135698374750314
19,10,COMPLETED,1,21.0,3.0,14.0,4.0,3.0,0.0,0.004627851078009942,-1.0,16.0,0.02135698374750314
20,11,INTERMEDIATE,1,32.0,7.0,18.0,8.0,14.0,1.0,0.01,-1.0,7.0,0.018628212988248797
21,11,COMPLETED,1,32.0,7.0,18.0,8.0,14.0,1.0,0.01,-1.0,7.0,0.018628212988248797
22,12,INTERMEDIATE,1,33.0,10.0,14.0,10.0,12.0,1.0,0.01,-1.0,5.0,0.015917566334454444
23,12,COMPLETED,1,33.0,10.0,14.0,10.0,12.0,1.0,0.01,-1.0,5.0,0.015917566334454444
24,13,INTERMEDIATE,1,27.0,5.0,15.0,13.0,4.0,1.0,0.01,-1.0,13.0,0.015453015120383677
25,13,COMPLETED,1,27.0,5.0,15.0,13.0,4.0,1.0,0.01,-1.0,13.0,0.015453015120383677
26,14,INTERMEDIATE,1,34.0,11.0,13.0,3.0,14.0,1.0,0.01,0.0,5.0,0.01575849715651969
27,14,COMPLETED,1,34.0,11.0,13.0,3.0,14.0,1.0,0.01,0.0,5.0,0.01575849715651969
28,15,INTERMEDIATE,1,29.0,3.0,15.0,13.0,5.0,0.0,0.01,-1.0,16.0,0.01915897351104123
29,15,COMPLETED,1,29.0,3.0,15.0,13.0,5.0,0.0,0.01,-1.0,16.0,0.01915897351104123
30,16,INTERMEDIATE,1,33.0,10.0,14.0,7.0,14.0,0.0,0.01,0.0,6.0,0.015640198253872105
31,16,COMPLETED,1,33.0,10.0,14.0,7.0,14.0,0.0,0.01,0.0,6.0,0.015640198253872105
32,17,INTERMEDIATE,1,32.0,5.0,13.0,4.0,18.0,0.0,0.01,-1.0,3.0,0.01631232718738429
33,17,COMPLETED,1,32.0,5.0,13.0,4.0,18.0,0.0,0.01,-1.0,3.0,0.01631232718738429
34,18,INTERMEDIATE,1,23.0,9.0,14.0,11.0,6.0,1.0,0.01,0.0,15.0,0.018169360529486013
35,18,COMPLETED,1,23.0,9.0,14.0,11.0,6.0,1.0,0.01,0.0,15.0,0.018169360529486013
36,19,INTERMEDIATE,1,34.0,5.0,16.0,4.0,15.0,1.0,0.01,0.0,1.0,0.015118566183646898
37,19,COMPLETED,1,34.0,5.0,16.0,4.0,15.0,1.0,0.01,0.0,1.0,0.015118566183646898
38,20,INTERMEDIATE,1,33.0,5.0,13.0,5.0,11.0,0.0,0.01,0.0,1.0,0.013781640077503146
39,20,COMPLETED,1,33.0,5.0,13.0,5.0,11.0,0.0,0.01,0.0,1.0,0.013781640077503146
40,21,INTERMEDIATE,1,39.0,11.0,14.0,4.0,11.0,1.0,0.01,-1.0,2.0,0.020102543351254543
41,21,COMPLETED,1,39.0,11.0,14.0,4.0,11.0,1.0,0.01,-1.0,2.0,0.020102543351254543
42,22,INTERMEDIATE,1,35.0,4.0,12.0,7.0,13.0,1.0,0.01,-1.0,6.0,0.01593381213197979
43,22,COMPLETED,1,35.0,4.0,12.0,7.0,13.0,1.0,0.01,-1.0,6.0,0.01593381213197979
44,23,INTERMEDIATE,1,38.0,3.0,14.0,4.0,11.0,1.0,0.01,-1.0,3.0,0.014826553749722067
45,23,COMPLETED,1,38.0,3.0,14.0,4.0,11.0,1.0,0.01,-1.0,3.0,0.014826553749722067
46,24,INTERMEDIATE,1,34.0,7.0,12.0,5.0,9.0,0.0,0.01,0.0,5.0,0.01828436552597916
47,24,COMPLETED,1,34.0,7.0,12.0,5.0,9.0,0.0,0.01,0.0,5.0,0.01828436552597916
48,25,INTERMEDIATE,1,37.0,7.0,15.0,6.0,17.0,1.0,0.01,-1.0,3.0,0.01523035963488641
49,25,COMPLETED,1,37.0,7.0,15.0,6.0,17.0,1.0,0.01,-1.0,3.0,0.01523035963488641
50,26,INTERMEDIATE,1,32.0,14.0,16.0,6.0,17.0,1.0,0.01,-1.0,1.0,0.014162889327250223
51,26,COMPLETED,1,32.0,14.0,16.0,6.0,17.0,1.0,0.01,-1.0,1.0,0.014162889327250223
52,27,INTERMEDIATE,1,31.0,13.0,16.0,4.0,14.0,0.0,0.01,0.0,1.0,0.016636604040233673
53,27,COMPLETED,1,31.0,13.0,16.0,4.0,14.0,0.0,0.01,0.0,1.0,0.016636604040233673
54,28,INTERMEDIATE,1,33.0,11.0,9.0,14.0,20.0,1.0,0.01,-1.0,2.0,0.014654361363114004
55,28,COMPLETED,1,33.0,11.0,9.0,14.0,20.0,1.0,0.01,-1.0,2.0,0.014654361363114004
56,29,INTERMEDIATE,1,35.0,7.0,4.0,6.0,18.0,1.0,0.01,-1.0,2.0,0.014133161836293349
57,29,COMPLETED,1,35.0,7.0,4.0,6.0,18.0,1.0,0.01,-1.0,2.0,0.014133161836293349
58,30,INTERMEDIATE,1,36.0,3.0,4.0,3.0,19.0,1.0,0.01,-1.0,6.0,0.01686999444718511
59,30,COMPLETED,1,36.0,3.0,4.0,3.0,19.0,1.0,0.01,-1.0,6.0,0.01686999444718511
60,31,INTERMEDIATE,1,36.0,7.0,7.0,3.0,19.0,1.0,0.01,-1.0,1.0,0.016415134052353855
61,31,COMPLETED,1,36.0,7.0,7.0,3.0,19.0,1.0,0.01,-1.0,1.0,0.016415134052353855
62,32,INTERMEDIATE,1,33.0,10.0,10.0,7.0,20.0,1.0,0.01,0.0,6.0,0.015747178241193906
63,32,COMPLETED,1,33.0,10.0,10.0,7.0,20.0,1.0,0.01,0.0,6.0,0.015747178241193906
64,33,INTERMEDIATE,1,38.0,7.0,4.0,15.0,19.0,1.0,0.01,0.0,5.0,0.014143537560428458
65,33,COMPLETED,1,38.0,7.0,4.0,15.0,19.0,1.0,0.01,0.0,5.0,0.014143537560428458
66,34,INTERMEDIATE,1,40.0,6.0,11.0,17.0,17.0,1.0,0.01,-1.0,4.0,0.015699037199069076
67,34,COMPLETED,1,40.0,6.0,11.0,17.0,17.0,1.0,0.01,-1.0,4.0,0.015699037199069076
68,35,INTERMEDIATE,1,35.0,12.0,3.0,13.0,19.0,0.0,0.01,-1.0,1.0,0.016334013039315334
69,35,COMPLETED,1,35.0,12.0,3.0,13.0,19.0,0.0,0.01,-1.0,1.0,0.016334013039315334
70,36,INTERMEDIATE,1,40.0,7.0,3.0,17.0,20.0,1.0,0.01,0.0,3.0,0.014826939094681277
71,36,COMPLETED,1,40.0,7.0,3.0,17.0,20.0,1.0,0.01,0.0,3.0,0.014826939094681277
72,37,INTERMEDIATE,1,36.0,4.0,9.0,17.0,20.0,0.0,0.01,-1.0,16.0,0.016222801715345604
73,37,COMPLETED,1,36.0,4.0,9.0,17.0,20.0,0.0,0.01,-1.0,16.0,0.016222801715345604
74,38,INTERMEDIATE,1,33.0,5.0,19.0,3.0,18.0,0.0,0.01,0.0,1.0,0.016078772430819295
75,38,COMPLETED,1,33.0,5.0,19.0,3.0,18.0,0.0,0.01,0.0,1.0,0.016078772430819295
76,39,INTERMEDIATE,1,36.0,9.0,12.0,9.0,19.0,1.0,0.01,0.0,3.0,0.015201658507450392
77,39,COMPLETED,1,36.0,9.0,12.0,9.0,19.0,1.0,0.01,0.0,3.0,0.015201658507450392
78,40,INTERMEDIATE,1,38.0,3.0,10.0,16.0,19.0,1.0,0.01,0.0,1.0,0.016035903952527422
