,Trial-ID,Status,Iteration,hidden,hidden1_pm,hidden1_stator,hidden2_pm,hidden2_stator,input_rec,lr,output_rec,window,Objective
0,1,INTERMEDIATE,1,10.0,17.0,16.0,16.0,16.0,0.0,0.004700096921330223,-1.0,21.0,0.0395014968146988
1,1,COMPLETED,1,10.0,17.0,16.0,16.0,16.0,0.0,0.004700096921330223,-1.0,21.0,0.0395014968146988
2,2,INTERMEDIATE,1,11.0,3.0,5.0,19.0,18.0,0.0,0.00443605940207066,-1.0,20.0,0.043419869198493145
3,2,COMPLETED,1,11.0,3.0,5.0,19.0,18.0,0.0,0.00443605940207066,-1.0,20.0,0.043419869198493145
4,3,INTERMEDIATE,1,20.0,18.0,19.0,12.0,9.0,0.0,0.00384861603937966,-1.0,1.0,0.04015489155535752
5,3,COMPLETED,1,20.0,18.0,19.0,12.0,9.0,0.0,0.00384861603937966,-1.0,1.0,0.04015489155535752
6,4,INTERMEDIATE,1,6.0,18.0,5.0,8.0,16.0,0.0,0.0012618924717025144,-1.0,18.0,0.04506704763779883
7,4,COMPLETED,1,6.0,18.0,5.0,8.0,16.0,0.0,0.0012618924717025144,-1.0,18.0,0.04506704763779883
8,5,INTERMEDIATE,1,28.0,11.0,10.0,7.0,7.0,0.0,0.0012066239963331293,-1.0,11.0,0.03553445849745824
9,5,COMPLETED,1,28.0,11.0,10.0,7.0,7.0,0.0,0.0012066239963331293,-1.0,11.0,0.03553445849745824
10,6,INTERMEDIATE,1,36.0,10.0,14.0,11.0,10.0,0.0,0.005198162020627289,-1.0,27.0,0.03168809040732415
11,6,COMPLETED,1,36.0,10.0,14.0,11.0,10.0,0.0,0.005198162020627289,-1.0,27.0,0.03168809040732415
12,7,INTERMEDIATE,1,8.0,12.0,9.0,13.0,11.0,0.0,0.007870946915870218,-1.0,6.0,0.03483469111920327
13,7,COMPLETED,1,8.0,12.0,9.0,13.0,11.0,0.0,0.007870946915870218,-1.0,6.0,0.03483469111920327
14,8,INTERMEDIATE,1,35.0,12.0,17.0,13.0,15.0,0.0,0.0028724068191299003,-1.0,9.0,0.036152954180186526
15,8,COMPLETED,1,35.0,12.0,17.0,13.0,15.0,0.0,0.0028724068191299003,-1.0,9.0,0.036152954180186526
16,9,INTERMEDIATE,1,5.0,7.0,7.0,5.0,17.0,0.0,0.00671037982021197,-1.0,29.0,0.041560717362091236
17,9,COMPLETED,1,5.0,7.0,7.0,5.0,17.0,0.0,0.00671037982021197,-1.0,29.0,0.041560717362091236
18,10,INTERMEDIATE,1,25.0,15.0,13.0,19.0,11.0,0.0,0.001442107366107977,-1.0,27.0,0.02652803011195417
19,10,COMPLETED,1,25.0,15.0,13.0,19.0,11.0,0.0,0.001442107366107977,-1.0,27.0,0.02652803011195417
20,11,INTERMEDIATE,1,28.0,17.0,14.0,18.0,14.0,0.0,0.01,-1.0,28.0,0.029039111686367924
21,11,COMPLETED,1,28.0,17.0,14.0,18.0,14.0,0.0,0.01,-1.0,28.0,0.029039111686367924
22,12,INTERMEDIATE,1,28.0,15.0,11.0,20.0,4.0,1.0,0.01,-1.0,26.0,0.027293973402407124
23,12,COMPLETED,1,28.0,15.0,11.0,20.0,4.0,1.0,0.01,-1.0,26.0,0.027293973402407124
24,13,INTERMEDIATE,1,26.0,14.0,15.0,20.0,7.0,0.0,0.01,0.0,29.0,0.02613730615635558
25,13,COMPLETED,1,26.0,14.0,15.0,20.0,7.0,0.0,0.01,0.0,29.0,0.02613730615635558
26,14,INTERMEDIATE,1,29.0,17.0,17.0,17.0,6.0,0.0,0.01,0.0,25.0,0.026115097362083516
27,14,COMPLETED,1,29.0,17.0,17.0,17.0,6.0,0.0,0.01,0.0,25.0,0.026115097362083516
28,15,INTERMEDIATE,1,27.0,18.0,18.0,16.0,5.0,0.0,0.01,-1.0,26.0,0.03487088263068031
29,15,COMPLETED,1,27.0,18.0,18.0,16.0,5.0,0.0,0.01,-1.0,26.0,0.03487088263068031
30,16,INTERMEDIATE,1,37.0,12.0,16.0,20.0,8.0,1.0,0.01,0.0,27.0,0.025344809444782828
31,16,COMPLETED,1,37.0,12.0,16.0,20.0,8.0,1.0,0.01,0.0,27.0,0.025344809444782828
32,17,INTERMEDIATE,1,38.0,20.0,6.0,20.0,5.0,0.0,0.01,0.0,30.0,0.011705071233030781
33,17,COMPLETED,1,38.0,20.0,6.0,20.0,5.0,0.0,0.01,0.0,30.0,0.011705071233030781
34,18,INTERMEDIATE,1,33.0,20.0,5.0,19.0,6.0,1.0,0.01,0.0,28.0,0.010498681257133661
35,18,COMPLETED,1,33.0,20.0,5.0,19.0,6.0,1.0,0.01,0.0,28.0,0.010498681257133661
36,19,INTERMEDIATE,1,38.0,19.0,3.0,19.0,17.0,1.0,0.01,0.0,27.0,0.0288940359449966
37,19,COMPLETED,1,38.0,19.0,3.0,19.0,17.0,1.0,0.01,0.0,27.0,0.0288940359449966
38,20,INTERMEDIATE,1,35.0,16.0,7.0,20.0,4.0,0.0,0.01,-1.0,29.0,0.031938559298608456
39,20,COMPLETED,1,35.0,16.0,7.0,20.0,4.0,0.0,0.01,-1.0,29.0,0.031938559298608456
40,21,INTERMEDIATE,1,40.0,20.0,3.0,16.0,4.0,0.0,0.01,0.0,24.0,0.009085406571365692
41,21,COMPLETED,1,40.0,20.0,3.0,16.0,4.0,0.0,0.01,0.0,24.0,0.009085406571365692
42,22,INTERMEDIATE,1,40.0,20.0,8.0,17.0,10.0,0.0,0.01,0.0,27.0,0.01143355476689821
43,22,COMPLETED,1,40.0,20.0,8.0,17.0,10.0,0.0,0.01,0.0,27.0,0.01143355476689821
44,23,INTERMEDIATE,1,39.0,18.0,3.0,20.0,16.0,0.0,0.01,0.0,26.0,0.05000463929325359
45,23,COMPLETED,1,39.0,18.0,3.0,20.0,16.0,0.0,0.01,0.0,26.0,0.05000463929325359
46,24,INTERMEDIATE,1,40.0,20.0,7.0,15.0,10.0,1.0,0.01,-1.0,28.0,0.007788079843625756
