,Trial-ID,Status,Iteration,hidden,hidden1_pm,hidden1_stator,hidden2_pm,hidden2_stator,input_rec,lr,output_rec,window,Objective
0,1,INTERMEDIATE,1,16.0,7.0,7.0,6.0,3.0,0.0,0.004625888585317484,-1.0,12.0,0.0294137656734226
1,1,COMPLETED,1,16.0,7.0,7.0,6.0,3.0,0.0,0.004625888585317484,-1.0,12.0,0.0294137656734226
2,2,INTERMEDIATE,1,33.0,17.0,14.0,3.0,4.0,0.0,0.003343074548899149,-1.0,22.0,0.02489552894505285
3,2,COMPLETED,1,33.0,17.0,14.0,3.0,4.0,0.0,0.003343074548899149,-1.0,22.0,0.02489552894505285
4,3,INTERMEDIATE,1,22.0,18.0,10.0,4.0,9.0,0.0,0.002788777565688217,-1.0,23.0,0.022229043660985378
5,3,COMPLETED,1,22.0,18.0,10.0,4.0,9.0,0.0,0.002788777565688217,-1.0,23.0,0.022229043660985378
6,4,INTERMEDIATE,1,27.0,18.0,6.0,16.0,8.0,0.0,0.005611702574264695,-1.0,6.0,0.009401736509723497
7,4,COMPLETED,1,27.0,18.0,6.0,16.0,8.0,0.0,0.005611702574264695,-1.0,6.0,0.009401736509723497
8,5,INTERMEDIATE,1,15.0,13.0,6.0,14.0,13.0,0.0,0.0035796300371190026,-1.0,22.0,0.025416465986144533
9,5,COMPLETED,1,15.0,13.0,6.0,14.0,13.0,0.0,0.0035796300371190026,-1.0,22.0,0.025416465986144533
10,6,INTERMEDIATE,1,33.0,15.0,10.0,18.0,5.0,0.0,0.0040050284560477515,-1.0,7.0,0.028676122508165872
11,6,COMPLETED,1,33.0,15.0,10.0,18.0,5.0,0.0,0.0040050284560477515,-1.0,7.0,0.028676122508165872
12,7,INTERMEDIATE,1,39.0,7.0,18.0,15.0,17.0,0.0,0.0029700863888520663,-1.0,10.0,0.023939136286983922
13,7,COMPLETED,1,39.0,7.0,18.0,15.0,17.0,0.0,0.0029700863888520663,-1.0,10.0,0.023939136286983922
14,8,INTERMEDIATE,1,23.0,6.0,17.0,18.0,6.0,0.0,0.005152441359611136,-1.0,21.0,0.032612387320843254
15,8,COMPLETED,1,23.0,6.0,17.0,18.0,6.0,0.0,0.005152441359611136,-1.0,21.0,0.032612387320843254
16,9,INTERMEDIATE,1,24.0,17.0,8.0,11.0,18.0,0.0,0.006285640819552239,-1.0,15.0,0.023368106241153604
17,9,COMPLETED,1,24.0,17.0,8.0,11.0,18.0,0.0,0.006285640819552239,-1.0,15.0,0.023368106241153604
18,10,INTERMEDIATE,1,18.0,5.0,9.0,3.0,5.0,0.0,0.0038858303931952514,-1.0,10.0,0.023153162957224253
19,10,COMPLETED,1,18.0,5.0,9.0,3.0,5.0,0.0,0.0038858303931952514,-1.0,10.0,0.023153162957224253
20,11,INTERMEDIATE,1,30.0,18.0,15.0,12.0,3.0,1.0,0.01,-1.0,6.0,0.026662378634724097
21,11,COMPLETED,1,30.0,18.0,15.0,12.0,3.0,1.0,0.01,-1.0,6.0,0.026662378634724097
22,12,INTERMEDIATE,1,17.0,6.0,8.0,4.0,6.0,1.0,0.01,0.0,8.0,0.0240196290745353
23,12,COMPLETED,1,17.0,6.0,8.0,4.0,6.0,1.0,0.01,0.0,8.0,0.0240196290745353
24,13,INTERMEDIATE,1,29.0,19.0,9.0,18.0,8.0,0.0,0.01,0.0,4.0,0.024545084216156997
